time,cpuLoad
2.553021,45.15
2.008081,40.8385714286
1.253869,37.5742857143
1.382744,42.79625
2.562845,44.7057142857
1.349296,43.15875
1.323638,34.7228571429
2.461463,37.4075
2.053654,51.4785714286
1.302865,46.2557142857
1.347621,41.8157142857
2.535674,40.94375
1.330952,37.5985714286
1.34464,38.3614285714
2.525824,38.8171428571
1.958272,44.55
1.272338,38.48625
1.432024,37.9371428571
2.507352,39.27625
1.330503,40.4028571429
1.371267,38.6857142857
2.569893,40.62
1.930978,48.6614285714
1.279879,40.44
1.416477,39.5557142857
2.572605,45.48625
1.309768,39.5328571429
1.33448,39.3571428571
2.488886,38.1628571429
1.975359,37.1657142857
1.312235,45.16
1.348491,37.3957142857
2.524149,38.6257142857
1.298256,42.3075
1.369078,37.51
2.511197,37.5414285714
1.843726,44.29
1.305332,57.57125
1.40961,36.4285714286
2.465125,45.91
1.318157,40.3928571429
1.35364,37.3171428571
2.492421,40.2542857143
1.954223,49.06375
1.323844,35.0128571429
1.359229,38.0175
2.595644,43.8371428571
1.347644,39.5571428571
1.310605,37.5257142857
2.75132,72.91
1.836909,73.2228571429
2.683934,63.01125
1.771036,65.0528571429
2.484568,64.2475
1.971141,60.6528571429
2.251484,64.70375
2.570792,62.2714285714
1.547287,65.1285714286
2.685985,65.7171428571
1.989844,65.19
2.288499,68.685
2.607027,66.6657142857
1.555467,70.10875
2.632028,70.625
1.858603,64.3414285714
2.218473,60.405
2.564836,59.6028571429
1.46386,63.4925
2.745521,65.9875
1.536707,64.8428571429
2.433872,63.0985714286
2.6433,82.5928571429
3.047568,82.64625
2.524426,87.11625
2.460603,84.42
3.228784,85.1025
2.510177,84.50125
3.132177,87.44
2.81759,87.7475
2.864334,86.66375
2.797183,87.73625
2.58071,88.6085714286
2.519054,89.48
2.943781,85.5175
2.986314,83.655
2.938142,84.7328571429
2.867731,87.14375
2.81959,87.2475
2.802581,89.13875
2.520056,88.00625
2.617711,87.89625
2.83679,86.4475
3.140751,87.4575
3.01534,90.0825
2.915149,88.1628571429
2.873931,90.12375
2.87265,88.01125
2.54624,86.6
2.864964,89.1585714286
