time,cpuLoad
4.90243,89.69
4.74977,87.8625
4.981035,89.90625
4.917485,100.0
5.004435,89.3585714286
4.58593,89.29
4.985405,83.9414285714
4.63278,86.52125
4.867075,87.64375
4.629155,88.19625
5.093105,89.01625
4.663205,89.465
5.047455,89.48
4.62615,88.135
5.135475,88.91625
4.70046,89.2442857143
4.59954,89.25375
4.753705,88.3928571429
4.80656,87.8771428571
4.95079,89.05625
4.598935,88.99125
4.347525,75.4914285714
3.92874,76.55625
2.73236,71.4428571429
2.657445,72.8957142857
4.016495,70.885
4.346905,73.76875
4.13571,71.70375
3.659705,75.0371428571
2.77912,75.065
4.01858,78.0857142857
4.13179,78.165
3.456725,75.905
2.372335,72.26875
3.774395,70.5375
4.95827,76.7057142857
4.4272,75.5
3.49217,77.24125
2.98861,72.56625
4.19781,78.5885714286
1.96251,55.3114285714
2.02026,54.4657142857
2.28753,62.90375
3.35474,53.9942857143
3.9706,62.6257142857
3.54486,59.27125
2.49228,53.73625
1.982385,56.4628571429
1.932925,52.54625
1.977625,53.29125
2.06357,53.37875
2.67253,52.46625
3.523955,51.48375
3.900095,52.92375
3.64368,46.9771428571
2.56213,44.1671428571
1.81322,42.3428571429
1.775275,40.4042857143
1.813745,42.2471428571
