time,cpuLoad
4.447,48.8842857143
5.214,91.6871428571
3.375,68.11375
2.162,62.535
2.205,53.7328571429
2.423,59.5557142857
3.79,58.7857142857
4.349,58.1628571429
3.901,56.8471428571
2.606,59.75625
2.177,53.6171428571
2.296,52.83
2.606,61.9885714286
3.95,60.8942857143
4.065,56.0675
3.299,54.925
2.098,46.4042857143
1.919,34.66
2.203,50.3457142857
2.655,60.6242857143
4.041,71.46
4.461,76.90625
3.165,74.85875
3.88,74.3625
4.429,74.58625
3.304,75.30375
3.506,70.6657142857
4.704,73.05
3.876,76.4142857143
2.811,67.9728571429
4.393,68.92
4.424,71.25875
3.123,71.065
4.012,72.835
4.271,73.81625
2.962,73.845
3.856,72.93375
4.433,73.9275
3.144,73.6142857143
4.057,85.72
6.885,87.9775
4.132,86.34
5.327,88.71625
5.468,88.9871428571
4.724,88.62375
5.311,88.47375
5.364,86.5275
4.633,88.98125
5.532,87.6325
5.304,86.2157142857
4.629,87.85375
5.526,89.7542857143
5.371,88.075
4.792,87.1785714286
5.418,89.4625
5.447,88.44125
4.563,87.27875
5.27,89.015
5.253,89.5475
