time,cpuLoad
1.936,57.6425
2.241,46.3642857143
1.152,46.1842857143
1.184,53.89
2.351,64.4
1.475,43.3685714286
1.156,43.9214285714
1.534,54.46375
2.342,44.9642857143
1.246,43.0528571429
1.191,49.7757142857
2.016,48.71
2.057,45.9671428571
1.124,41.87125
1.217,53.555
2.254,44.1375
1.184,39.785
1.176,44.47
1.935,48.2
2.474,73.6075
1.745,65.5225
2.508,77.21
1.572,72.0425
2.441,65.9671428571
1.51,67.01
2.492,66.63375
1.725,67.71
2.451,68.1675
1.749,69.5642857143
2.512,63.6885714286
1.9,65.72875
2.432,64.5842857143
2.007,72.375
2.582,63.68625
2.176,64.10875
2.214,62.1842857143
2.183,67.2725
2.177,72.0771428571
1.958,67.18
2.506,69.58
4.901,87.2625
4.088,88.605
3.756,85.34
3.942,88.075
3.527,86.71125
3.591,86.6085714286
2.627,83.08
2.7,88.14
2.937,84.37875
2.341,87.19625
1.843,86.7725
1.789,86.94125
1.962,87.8775
2.098,87.28375
2.335,87.42625
2.833,91.8475
3.279,76.98
2.177,87.355
1.355,84.08375
