time,cpuLoad
0.249,43.35125
0.244,39.4857142857
0.385,78.7771428571
0.256,55.86
0.25,52.1828571429
0.25,48.5371428571
0.224,42.28
0.262,53.53875
0.224,41.8485714286
0.259,47.68375
0.223,42.8357142857
0.232,46.19375
0.229,43.64625
0.29,59.47375
0.222,37.1128571429
0.264,55.6225
0.259,54.8528571429
0.262,51.65375
0.267,55.89
0.26,46.0142857143
0.364,68.8114285714
0.307,76.1425
0.313,76.24375
0.315,65.76625
0.277,66.8885714286
0.351,75.85
0.304,78.88
0.365,73.77625
0.324,69.93125
0.299,76.33
0.333,75.16375
0.339,74.2575
0.331,73.565
0.312,73.775
0.316,72.2571428571
0.338,72.2542857143
0.302,72.5914285714
0.309,72.1675
0.307,74.73875
0.339,73.2814285714
0.373,78.8275
0.368,87.8385714286
0.345,90.12125
0.387,86.51875
0.354,87.60125
0.362,91.02
0.366,86.58
0.374,80.0814285714
0.346,87.4175
0.354,85.6842857143
0.367,82.44125
0.441,91.76125
0.355,86.2875
0.393,82.4571428571
0.376,87.99625
0.436,84.8325
0.357,82.6971428571
0.34,88.7775
0.37,89.56375
