time,cpuLoad
0.333,85.37875
0.357,82.4825
0.322,83.93375
0.333,86.4957142857
0.333,87.3528571429
0.314,85.295
0.362,88.26
0.493,99.385
0.355,84.96875
0.329,92.255
0.343,84.69125
0.344,87.7871428571
0.375,84.64375
0.33,88.7314285714
0.327,93.39625
0.333,88.07
0.353,82.5475
0.335,83.61625
0.334,86.5575
0.374,86.03125
0.284,63.82
0.267,63.28875
0.301,65.645
0.312,68.4257142857
0.287,64.4285714286
0.308,66.69
0.314,62.8328571429
0.252,60.18
0.311,61.89875
0.29,63.66
0.267,63.5475
0.298,70.7675
0.314,72.1975
0.345,68.1785714286
0.298,72.4228571429
0.293,64.13125
0.302,63.1075
0.276,60.2157142857
0.318,65.19
0.322,67.29625
0.298,68.0542857143
0.245,56.1285714286
0.233,50.80875
0.216,40.4128571429
0.225,51.4914285714
0.257,54.4485714286
0.267,54.425
0.366,64.96375
0.214,39.9085714286
0.245,39.06375
0.222,39.3785714286
0.228,43.64
0.225,40.6557142857
0.223,39.895
0.225,39.7628571429
0.247,42.1728571429
0.217,41.10625
0.218,38.3671428571
0.216,36.6825
