time,cpuLoad
2.809505,89.61625
2.95347,86.4942857143
3.050275,88.1425
2.896965,85.51875
3.006395,90.255
3.007785,88.78875
2.830005,88.06375
3.04715,85.3457142857
2.85901,87.13
2.86914,85.7257142857
3.274015,86.01625
2.977325,85.7814285714
2.70063,65.9975
2.32224,65.64875
2.326815,67.56125
2.32468,64.0675
2.367045,75.2
2.20436,69.5125
2.364275,66.34125
2.273065,66.8075
2.286585,63.9585714286
2.347535,64.2775
2.23807,62.3442857143
2.23725,65.96125
2.20478,69.2875
2.325645,65.335
2.331095,63.72875
2.301955,84.8975
2.66333,67.29125
2.42735,63.6425
1.621615,43.37375
1.61462,39.1514285714
1.63982,40.3971428571
1.83822,42.58
1.6365,43.41
1.72063,39.8528571429
1.826335,43.79875
1.70807,49.7828571429
1.70818,41.0142857143
1.63686,45.7442857143
1.830685,41.1785714286
1.596625,49.4875
1.610725,37.96375
1.687425,43.9675
1.669525,43.0442857143
1.655755,40.33125
1.62124,39.315
1.74401,46.7885714286
1.635235,39.97625
1.648365,38.48875
1.70078,42.405
1.618225,40.235
1.64189,42.0157142857
1.645955,38.8671428571
1.716745,42.02125
1.586575,38.68125
1.714195,40.2728571429
1.781275,48.03125
1.652545,48.50625
