time,cpuLoad
1.648,35.94
1.634,48.3657142857
1.587,41.2557142857
1.661,44.6585714286
1.696,39.3728571429
1.582,36.1714285714
1.506,39.1714285714
1.527,36.8514285714
1.669,39.4757142857
1.566,37.5614285714
1.608,39.92625
1.612,38.595
1.603,41.0257142857
1.641,46.5371428571
1.548,42.2371428571
1.747,40.58125
1.531,36.72
1.61,39.7914285714
1.608,47.0942857143
1.927,41.7257142857
2.147,65.585
2.142,63.4642857143
2.221,80.5057142857
2.114,69.6
2.168,62.94
2.163,66.4928571429
2.158,62.78375
2.17,70.2214285714
2.261,61.9014285714
2.176,66.41125
2.122,68.94125
2.26,65.5285714286
2.222,70.955
2.303,62.5285714286
2.203,63.92625
2.267,72.965
2.169,66.22
2.279,64.13375
2.216,64.55375
2.229,65.92
2.25,64.15
2.172,68.02
2.281,67.4775
2.333,69.56875
2.287,67.20625
2.206,74.33125
2.322,67.27
2.274,70.1014285714
2.501,64.99625
2.205,65.6514285714
2.215,68.23625
2.768,82.1875
2.83,88.2514285714
2.742,87.985
2.889,84.33875
2.674,89.645
2.942,86.24375
2.638,90.0328571429
2.794,87.67
