time,cpuLoad
0.989,47.4014285714
0.961,50.005
0.935,45.07
0.985,48.5975
0.916,42.64625
0.87,41.0285714286
0.978,44.135
0.914,43.55625
0.916,43.41875
0.922,45.0885714286
0.906,45.79875
0.959,60.7328571429
0.921,45.825
0.947,46.535
0.972,54.8071428571
0.897,42.1457142857
0.916,45.29
0.918,44.03875
0.921,43.6442857143
0.92,48.72625
1.103,73.82125
1.102,64.5075
1.11,64.965
1.147,65.755
1.139,70.3342857143
1.12,71.28375
1.125,70.32
1.123,69.2128571429
1.104,64.5325
1.177,64.8414285714
1.067,65.12
1.288,65.8528571429
1.08,61.3314285714
1.126,67.42625
1.099,64.2657142857
1.124,67.96375
1.162,63.91125
1.077,67.22
1.122,67.775
1.14,65.94
1.3,80.095
1.235,83.68
1.244,88.7275
1.241,86.8575
1.23,88.16125
1.258,84.7475
1.222,84.97
1.222,85.31375
1.203,83.38
1.414,84.6971428571
1.181,84.84125
1.247,85.7485714286
1.295,86.20875
1.306,85.2042857143
1.217,85.27125
1.208,88.77125
1.19,85.63875
1.208,85.5014285714
1.314,88.18875
