time,cpuLoad
3.365865,89.7825
3.42483,91.27875
3.446215,86.66375
3.40001,86.46125
3.38145,87.77625
3.25085,93.9425
3.48692,86.54375
3.383565,86.07
3.26149,86.0275
3.36786,88.2085714286
3.330155,88.38625
3.395695,87.52625
3.375565,88.0025
3.329535,89.435
3.38011,88.73
3.712445,89.515
3.359645,87.45
3.353105,88.36875
3.607585,93.2914285714
3.56513,91.8825
3.525645,90.04875
4.00058,92.675
3.04521,80.7914285714
3.11864,82.53625
3.20081,79.8528571429
2.79029,82.595
3.039875,69.2
3.10372,80.21625
2.99389,69.4075
2.74233,74.4125
3.06881,78.92125
3.08561,84.405
3.08654,75.4828571429
2.869705,76.92
3.05409,65.67
2.879835,66.495
2.940875,69.03625
2.90883,82.30125
2.789475,69.3685714286
2.960075,76.615
2.272785,43.51875
2.18989,45.03375
2.25378,55.00125
2.44533,40.6542857143
2.375785,45.5042857143
2.302565,61.56125
2.20925,43.8828571429
2.36692,49.3914285714
2.475025,46.835
2.42666,45.13
2.15647,43.2525
2.206475,41.09
2.392235,43.6871428571
2.614365,49.88875
2.343765,49.21
2.243425,40.7175
2.214605,46.4528571429
2.79211,65.6128571429
2.718915,67.2171428571
