time,cpuLoad
0.868,37.2657142857
0.956,41.37
0.852,38.0771428571
0.962,39.96875
0.888,40.0342857143
0.99,41.7314285714
0.843,41.2671428571
0.937,40.4928571429
0.847,36.5014285714
0.841,37.095
0.891,38.0742857143
1.008,66.82
0.919,40.97125
0.848,38.8114285714
0.938,44.22
0.88,36.3842857143
0.957,50.2771428571
0.843,38.9728571429
0.986,41.685
0.925,61.4085714286
1.253,68.2025
1.073,64.5
1.264,64.2775
1.058,71.315
1.142,66.47125
1.106,62.84375
1.212,64.5175
1.082,64.6257142857
1.17,66.66875
1.066,71.4125
1.155,72.1425
1.114,70.8514285714
1.13,72.6225
1.1,67.8157142857
1.061,64.75125
1.032,62.9785714286
1.08,69.56
1.167,72.50875
1.151,67.5071428571
1.077,76.9057142857
1.052,66.8
1.028,66.4742857143
1.111,70.34125
1.177,87.0828571429
1.534,91.92125
1.508,90.29625
1.316,85.275
1.317,89.55
1.399,88.05875
1.247,87.09875
1.368,88.155
1.427,89.1925
1.357,85.80875
1.386,89.74875
1.392,90.1625
1.355,86.72875
1.41,91.8728571429
1.456,88.6028571429
1.382,89.78125
