time,cpuLoad
1.499,45.495
1.667,50.4942857143
1.615,45.51375
1.47,40.59875
1.436,39.53
1.424,49.2757142857
1.641,42.73
1.552,41.2742857143
1.43,41.44
1.471,40.08
1.47,44.27875
1.646,43.0414285714
1.483,41.3771428571
1.47,42.49125
1.55,56.6671428571
1.542,43.4414285714
1.835,45.5457142857
1.439,38.4357142857
1.413,39.01
1.56,51.69125
2.029,65.53125
2.144,65.0575
2.086,61.5642857143
2.099,66.515
2.124,74.3971428571
2.058,64.9885714286
2.16,70.5075
2.231,73.1125
2.114,68.2475
1.996,65.79875
2.089,64.33
2.147,67.975
2.274,71.51
2.044,68.06375
2.164,74.7025
2.087,66.7475
2.017,65.83375
1.97,68.3275
2.076,68.2828571429
2.16,67.88125
2.601,87.42125
2.527,86.86
2.613,87.89125
2.585,88.28375
2.795,86.025
2.588,82.59125
2.558,83.0614285714
2.63,85.6525
2.673,85.6825
2.657,84.36
2.631,82.3928571429
2.533,84.7171428571
2.605,87.39125
2.647,88.44625
2.569,85.2328571429
2.524,85.70875
2.587,86.4975
2.569,86.87
3.025,95.775
