time,cpuLoad
4.555953,86.74625
4.555179,87.38
4.568383,88.4285714286
4.570206,89.655
4.601341,88.025
4.653823,89.4471428571
4.593373,86.7842857143
4.687456,88.2525
4.655474,84.7775
4.559921,87.35125
4.691747,88.21125
4.659549,86.3385714286
4.739852,88.42625
4.672068,70.51
4.524363,85.3325
4.541505,82.1025
4.328211,68.055
4.22535,67.515
4.205912,62.2285714286
4.277453,70.3257142857
4.237007,64.55375
4.20109,65.6042857143
4.260074,67.03375
4.343689,61.4485714286
4.188247,64.53875
4.26789,61.78625
4.1929,65.52625
4.216205,64.0714285714
4.309762,65.98125
4.228776,64.21
4.184384,64.0975
4.291636,64.0475
4.272234,62.8775
4.212348,64.805
4.327917,72.4975
4.556837,74.0585714286
4.343018,62.50125
4.143625,63.85
4.236566,63.23
4.194528,68.78625
4.133093,64.28875
4.312579,68.8642857143
4.291594,71.3257142857
4.278487,65.54
4.700544,70.3625
4.196813,61.6171428571
4.195665,65.91125
4.248915,62.3957142857
4.356006,76.1175
4.634861,87.9525
4.634796,82.05875
4.539799,87.34875
4.62228,86.47375
4.503505,88.01
4.546941,83.4825
4.515481,89.34125
4.613781,87.41125
4.645984,86.605
4.607859,85.71125
4.634465,85.6285714286
4.53663,85.87875
4.560906,84.79375
4.821199,77.9371428571
3.604591,43.0485714286
3.630622,40.2914285714
3.67903,40.1928571429
3.685868,42.8957142857
3.534815,40.6285714286
3.540701,36.1628571429
3.575567,37.4385714286
3.67921,37.17375
3.610199,42.55125
3.614727,38.46875
3.544893,36.9225
3.617717,39.0225
3.648136,42.5525
3.624285,44.1114285714
3.546247,36.0971428571
3.56541,38.5257142857
3.66463,36.68125
3.621316,48.4825
3.549401,38.96
3.567223,36.1
3.59328,37.0742857143
3.737552,47.89875
3.577353,39.73375
3.62242,40.3814285714
3.652323,41.0314285714
3.691798,44.64875
3.583135,43.08375
3.533432,38.6757142857
3.539259,37.1228571429
3.584031,37.91375
3.685345,36.82
3.583361,40.5985714286
3.498039,36.7185714286
3.538574,35.4828571429
3.704936,41.79125
3.644296,46.67875
