time,cpuLoad
11.211,86.3075
11.177,84.6975
11.216,97.0885714286
11.18,84.9625
11.349,85.15125
10.816,81.5042857143
11.122,86.39125
10.998,81.97375
11.287,79.86125
10.978,81.4642857143
12.108,87.0
11.257,84.00625
11.209,86.04625
11.486,83.77
11.122,85.5825
11.232,85.9575
11.176,84.0742857143
11.367,87.54
11.477,87.53625
11.3,86.605
11.175,86.30875
11.217,83.6842857143
11.197,83.9
11.308,94.4471428571
10.068,64.8214285714
9.918,68.365
10.688,90.12375
9.863,66.49125
9.614,74.015
9.836,74.2375
10.215,75.1075
10.153,65.5785714286
9.921,76.2325
9.537,63.9628571429
9.788,65.3125
9.614,65.455
10.922,67.7
9.716,66.73
9.801,63.31625
9.552,70.15625
8.228,41.40875
7.911,62.6228571429
7.92,47.4214285714
7.679,53.7825
7.784,39.34625
7.567,38.31
7.479,42.13875
7.546,39.55
7.636,46.8642857143
7.495,41.20375
7.552,48.01
7.591,40.4725
7.918,42.28625
7.659,45.925
7.674,40.7675
7.685,41.4271428571
7.564,47.8642857143
7.634,47.1357142857
7.664,46.2542857143
