time,cpuLoad
6.945,63.7857142857
7.304,57.4225
6.716,55.6425
6.87,56.19875
6.686,57.0942857143
6.832,49.67125
6.808,50.9328571429
6.939,55.7028571429
6.918,54.3175
6.833,55.82
6.833,55.9385714286
6.855,53.2028571429
6.882,54.1342857143
6.767,51.9142857143
6.7,44.0375
6.677,43.0314285714
6.752,46.67
6.705,46.8471428571
6.616,57.28875
6.487,46.8728571429
8.163,75.0475
7.998,73.4875
8.064,72.0685714286
8.067,70.90875
8.115,69.44375
7.962,68.9485714286
9.505,69.5675
8.018,71.01625
8.098,71.5475
7.965,72.1271428571
8.004,73.5642857143
8.042,70.7414285714
7.783,63.6571428571
8.012,72.63875
8.004,73.0225
8.072,73.37875
8.103,75.34625
7.946,74.82
8.072,72.63875
8.101,66.635
9.015,89.0
9.299,86.5028571429
9.031,88.56625
9.128,87.01625
9.014,87.2675
9.379,86.7771428571
9.548,88.555
9.064,88.56375
9.201,88.5475
9.034,84.92
8.981,87.94875
9.119,89.55375
9.27,88.6775
9.254,89.6171428571
9.116,88.55
9.046,84.4175
9.032,85.6642857143
8.993,83.3475
9.127,86.8914285714
