time,cpuLoad
5.164,49.8214634146
5.051,58.80675
5.285,49.5
5.231,50.47575
5.258,52.64625
5.221,57.5257142857
5.299,54.90825
5.314,64.1888636364
5.081,52.3602631579
5.277,53.5693023256
4.975,45.4317948718
5.278,54.3446153846
4.932,48.67825
5.042,46.5905128205
4.951,49.1607317073
5.109,47.5146153846
5.162,53.6765853659
4.966,47.3243589744
5.136,51.6556410256
4.9,47.4248717949
6.378,72.965
6.245,72.4943478261
6.068,72.747173913
6.287,69.897173913
6.212,69.347173913
6.163,69.6126086957
6.152,69.9273333333
6.153,69.7253333333
6.206,73.4462222222
6.169,69.2137777778
6.253,68.4806818182
6.325,70.2482222222
6.04,68.4581818182
6.311,71.7071111111
6.384,74.1789130435
6.224,73.4145454545
6.324,74.015
6.338,75.0145454545
6.229,72.2289361702
6.24,68.104
6.93,95.2454716981
6.936,91.5264814815
6.805,92.0902
7.686,92.52
6.915,92.342244898
6.938,92.1414
7.046,90.856
6.975,91.2424
6.916,92.1734693878
6.958,91.7218
7.008,91.4124
7.253,92.551372549
6.994,92.8662
6.859,91.7795918367
6.94,92.3776
6.984,92.9536
7.024,93.1457142857
7.121,93.2818
6.925,93.308
