time,cpuLoad
3.001478,65.185
2.943401,67.5428571429
3.032941,69.1671428571
2.866898,80.8371428571
2.94157,70.5728571429
2.976933,67.66875
3.008418,68.2075
2.941883,67.555
3.258695,67.88625
2.861327,65.68
2.968466,78.2728571429
2.99494,65.68375
2.884146,63.495
2.990289,65.7057142857
3.090623,68.0514285714
2.990256,65.1171428571
2.898519,68.95
3.01657,69.5985714286
3.082397,68.05
2.874695,71.51375
2.883381,68.2542857143
2.925015,67.0457142857
3.022581,61.13875
2.945121,67.28875
2.974714,65.7775
3.042415,67.83125
2.985223,60.7671428571
2.95318,71.13
2.96039,68.465
3.001197,63.7414285714
2.947349,68.2657142857
2.917241,66.4042857143
3.025071,71.03375
2.927571,66.53
2.942998,68.39375
2.987998,68.71
3.009862,68.2475
3.029962,64.9328571429
2.99622,60.8785714286
2.942351,65.27125
2.951248,65.89625
3.004595,60.1785714286
2.983479,66.9925
2.884893,65.8185714286
3.19894,70.0857142857
3.049114,65.2157142857
3.024946,71.99125
2.921722,66.9385714286
3.015391,68.06875
2.903109,64.0914285714
2.961312,62.18
2.934594,64.63375
2.999256,63.95125
3.577183,75.3528571429
3.424256,87.00625
3.334175,88.75875
3.353174,89.68625
3.436858,91.43
3.183711,84.79875
3.715244,84.56875
3.074234,89.28625
3.354913,85.6357142857
3.197569,85.2371428571
3.342689,81.9657142857
3.288311,88.65125
3.322454,84.1657142857
3.335427,88.16125
3.310217,85.7971428571
3.321962,84.82
3.246498,83.7757142857
3.322751,89.35375
3.252239,85.87
3.404632,84.91875
3.284981,88.0214285714
3.307977,87.0025
3.225891,87.1114285714
3.232487,85.835
3.279976,83.33125
3.288406,87.64125
3.247411,87.57125
3.279064,86.3875
3.426389,84.5975
3.206289,84.8485714286
3.331643,85.42125
3.381029,85.73
3.235526,88.3525
3.24183,85.7075
3.341346,88.385
3.230018,85.16375
3.322173,86.9657142857
3.274097,89.00125
3.340157,86.74375
3.291489,84.58
3.375732,84.4857142857
3.759757,88.25
3.409097,92.5071428571
3.320941,88.7775
3.456929,88.86375
3.323097,86.9625
3.65787,92.68875
