time,cpuLoad
10.63843,69.9885714286
10.520595,68.50875
10.50881,66.9428571429
10.916655,77.6814285714
10.751925,75.07375
10.71224,74.7714285714
10.679155,74.3414285714
10.7921,75.03375
10.73829,73.2728571429
10.942175,73.96625
9.76232,55.4228571429
8.256805,66.99
10.953245,64.54125
10.56884,67.7875
10.546305,69.66
11.00465,70.93125
10.682025,64.63
10.722305,71.1185714286
10.893515,84.62
12.218295,90.31625
13.33158,90.83625
13.346735,88.0157142857
13.296655,92.02375
13.430555,87.92
13.24363,90.13875
13.259595,89.5175
13.198145,87.745
13.25017,89.00625
13.4188,87.05
13.29,89.22875
13.008425,87.44875
13.274505,90.43125
13.506015,75.1571428571
10.68625,67.0985714286
10.59017,72.7775
10.675385,62.8857142857
10.44059,71.865
10.729335,70.35
10.513985,69.82625
10.835755,66.06
10.66209,72.62
11.064455,74.8225
10.77097,73.1842857143
10.757265,73.4528571429
10.867535,73.62375
8.94594,57.16375
8.240755,58.10625
8.440525,50.2457142857
8.0952,37.6
7.563805,44.8985714286
7.54629,46.11625
8.62225,48.96625
8.223075,43.5214285714
7.92601,39.7471428571
7.349205,44.025
7.703825,45.6525
8.17269,42.11125
8.2682,38.565
7.53001,41.23
