time,cpuLoad
3.443,34.9328571429
3.562,42.1714285714
3.368,41.96625
3.48,34.8471428571
3.489,40.3757142857
3.491,40.0071428571
3.449,46.0642857143
3.356,36.0685714286
3.367,35.3028571429
3.514,38.1457142857
3.395,58.645
3.34,37.8014285714
3.58,43.6142857143
3.571,45.5171428571
3.561,41.9685714286
3.532,47.72375
3.462,42.6
3.401,39.06375
3.648,50.1428571429
3.843,79.0825
4.113,80.8914285714
4.291,75.015
4.268,75.855
4.21,73.1485714286
4.298,74.6757142857
4.127,71.6075
4.255,81.0357142857
4.236,74.005
4.291,72.605
4.303,72.34
4.207,72.6828571429
4.301,75.86375
4.236,71.2314285714
4.315,72.765
4.223,72.62875
4.276,73.3
4.289,72.43
4.208,67.9885714286
4.251,67.59625
4.162,64.04625
4.176,65.37
4.197,64.98375
4.244,68.27
4.281,62.50125
4.283,66.6925
4.124,68.70875
4.25,68.25625
4.122,68.46625
4.252,66.4475
4.161,61.91625
4.179,64.00125
4.178,64.97
4.23,83.14
4.274,68.42
4.373,69.7285714286
4.24,70.1028571429
4.112,69.81
4.257,66.5371428571
4.194,61.7257142857
