time,cpuLoad
2.796,43.00125
2.768,44.35
2.745,52.5825
2.797,43.7714285714
2.744,46.7328571429
2.742,49.2957142857
2.807,53.55875
2.743,47.4975
2.696,52.4
2.784,52.4942857143
2.655,38.8242857143
2.714,47.3414285714
2.787,53.6714285714
2.618,40.1257142857
2.74,54.08
2.761,46.4971428571
2.7,47.4242857143
2.754,44.25875
2.672,45.2085714286
2.6,41.5157142857
3.354,64.6675
3.275,61.6342857143
3.328,63.5625
3.253,65.2675
3.27,64.3325
3.287,68.71
3.137,65.05
3.336,69.70875
3.337,63.0025
3.278,63.25875
3.302,71.9357142857
3.307,79.89125
3.294,68.3371428571
3.299,70.2975
3.263,67.9525
3.291,70.695
3.333,67.96
3.326,64.14
3.264,64.025
3.23,61.99
3.601,87.67
3.613,87.3075
3.586,88.75125
3.666,85.59875
3.775,83.64375
3.799,88.94375
3.714,85.5157142857
3.64,82.775
3.737,84.9571428571
3.881,85.655
3.682,83.2125
3.516,85.68625
3.714,89.8371428571
3.568,87.26
3.757,85.9925
3.712,86.8014285714
3.667,88.5957142857
3.545,89.0214285714
3.736,88.10625
