time,cpuLoad
3.489901,8.04642857143
3.48109,8.63266666667
3.515227,8.70357142857
3.58329,8.218
3.513555,9.774
3.484664,8.10058823529
3.471569,8.249375
3.582937,8.763125
3.498372,11.33625
3.525272,8.082
3.498133,9.516875
3.466703,7.863125
3.53839,7.896875
3.552486,8.14666666667
3.473956,12.1241176471
3.624954,8.894375
3.521853,8.90266666667
3.49152,7.535
3.533457,10.0129411765
3.448643,12.479375
3.465044,18.5576470588
3.450252,11.6688235294
3.458281,10.8123529412
3.449009,13.3447058824
3.445125,11.4582352941
3.440022,12.2227777778
3.464921,11.6094117647
3.451092,11.4688235294
3.475803,12.0282352941
3.480728,12.329375
3.458118,11.9741176471
3.486887,13.146875
3.508929,2.884
3.513775,3.22176470588
3.45272,3.34
3.478958,3.41235294118
3.551586,3.16875
3.533231,4.64176470588
3.44911,1.87411764706
3.463294,1.74111111111
3.447196,1.94352941176
3.429918,1.85833333333
3.446791,1.79176470588
3.477567,1.79058823529
3.488249,2.67444444444
3.444445,1.95352941176
3.427133,1.62470588235
3.430295,1.84823529412
3.439169,1.69555555556
3.414049,1.81444444444
3.399011,1.81705882353
3.490107,1.758125
3.421092,1.61117647059
3.465526,1.67111111111
3.417253,1.57470588235
3.42183,1.53176470588
3.470828,1.73176470588
3.439094,2.84166666667
3.413931,1.58882352941
3.502456,1.55411764706
3.394114,1.76941176471
3.430445,1.745
3.447717,1.68647058824
3.487329,1.72529411765
3.432133,2.36411764706
3.459344,1.62882352941
3.485847,1.56222222222
3.419843,2.02882352941
3.421198,2.06823529412
3.468127,1.73941176471
3.449659,2.17058823529
3.437549,1.83470588235
3.483858,1.69294117647
3.484381,1.92588235294
3.436818,1.66529411765
3.476149,1.70588235294
3.426974,1.72882352941
3.479484,1.79529411765
3.470513,1.62705882353
3.430177,1.99235294118
3.437517,1.64117647059
3.411543,1.72388888889
3.427292,1.74058823529
3.418673,2.73117647059
3.412587,1.69
3.497436,1.84941176471
3.436691,1.72055555556
3.493869,1.71888888889
3.43712,1.74705882353
3.504994,1.65705882353
3.423684,1.70411764706
3.498486,1.79529411765
3.464876,1.66588235294
3.433496,1.41764705882
3.396402,1.87411764706
3.563809,1.74941176471
3.481191,2.96944444444
3.401825,1.83235294118
3.411858,1.69529411765
3.484204,1.63588235294
3.570024,20.9092857143
3.592233,20.3584615385
3.542753,18.5876923077
3.539551,16.4176923077
3.525709,16.732
3.510419,19.7366666667
3.563256,16.78875
3.539225,16.775
3.533901,16.668125
3.558175,21.0246666667
3.467948,13.8776470588
3.497845,14.103125
3.47233,13.8676470588
3.483372,13.9164705882
3.51019,13.7629411765
3.454722,13.775
3.515913,13.8388235294
3.471743,13.7977777778
3.475002,13.8023529412
3.483924,13.7505555556
3.473438,14.0052941176
3.506135,13.7441176471
3.472227,13.84
3.497973,13.91875
3.469926,13.9482352941
3.494655,13.8011764706
3.495022,13.7311764706
3.472477,13.7776470588
3.515324,13.5317647059
3.472475,13.8311764706
3.48555,13.7917647059
3.469269,13.8476470588
3.451333,13.8588235294
3.516307,13.7117647059
3.471576,13.7558823529
3.521012,13.7988235294
3.464394,13.8176470588
3.504119,13.9076470588
3.532367,13.7405882353
3.469775,13.8882352941
3.535588,13.6952941176
3.481087,13.7523529412
3.493819,13.8852941176
3.500489,13.8376470588
3.476001,13.7035294118
3.514212,13.6258823529
3.457245,13.9829411765
3.510933,14.3241176471
3.484927,13.8182352941
3.474249,13.83
3.521629,13.8805882353
3.451928,13.7776470588
3.493726,13.8323529412
3.480845,13.7572222222
3.477564,13.7523529412
3.515477,13.9394117647
3.442303,13.6905882353
3.51847,13.6764705882
3.469438,13.8517647059
3.50208,13.9594117647
3.489122,13.8452941176
