time,cpuLoad
0.089153,7.922
0.055996,9.45
0.078366,8.926
0.056207,10.37
0.060147,8.569375
0.084344,7.94071428571
0.089502,9.8775
0.085523,6.65538461538
0.052209,11.615
0.066207,8.58133333333
0.066881,8.74214285714
0.065811,9.04666666667
0.084921,7.93642857143
0.093875,8.01266666667
0.077719,8.774
0.047188,9.20533333333
0.089672,8.73857142857
0.047299,7.73533333333
0.060797,7.38266666667
0.070066,8.232
0.065142,12.248125
0.047493,9.24933333333
0.073057,11.3333333333
0.091573,8.485
0.052293,15.4413333333
0.047816,17.8847058824
0.04735,19.8629411765
0.052959,13.96
0.071619,14.2166666667
0.047095,17.9523529412
0.094053,15.474
0.04751,22.46
0.047054,14.6727272727
0.049491,22.71
0.063363,13.5082352941
0.046991,12.3173333333
0.046888,10.805625
0.047272,9.87666666667
0.046816,12.6505882353
0.076575,11.4275
0.046807,11.0146666667
0.066081,10.31
0.046497,13.9441176471
0.047083,11.7147058824
0.046718,11.02
0.046848,13.3441176471
0.046859,12.1952941176
0.046822,12.3105882353
0.047168,12.4264705882
0.046952,11.2970588235
0.046779,11.3382352941
0.081674,12.0717647059
0.04672,12.0647058824
0.052812,13.9582352941
0.053137,12.0547058824
0.046616,17.34
0.070602,11.96
0.050164,12.91625
0.046983,12.27875
0.047844,10.530625
0.070117,19.6825
0.048425,12.2166666667
0.047055,10.7082352941
0.046907,14.7205882353
0.049928,11.0133333333
0.047069,11.835625
0.047396,10.8826666667
0.056485,10.011875
0.048307,15.08375
0.061122,9.975
0.047046,13.2429411765
0.050829,13.8205882353
0.046381,11.7094117647
0.046949,13.4194117647
0.046772,12.8664705882
0.046826,14.1235294118
0.048103,11.7864705882
0.055308,10.820625
0.051606,10.173125
0.058005,10.4806666667
0.056738,11.573125
0.04716,13.2282352941
0.051751,14.9794117647
0.054906,12.06
0.047958,12.721875
0.0478,14.125
0.056783,14.560625
0.047176,14.4088888889
0.047386,13.795625
0.050526,17.7335294118
0.047398,12.9758823529
0.048111,15.0347058824
0.047211,13.3241176471
0.048975,12.634375
0.047714,13.1405882353
0.047643,13.7864705882
0.04706,12.5846666667
0.047084,15.7088235294
0.05667,13.736875
0.05095,12.6626666667
0.049183,25.7713333333
0.049379,29.329375
0.049206,25.2492857143
0.046741,29.3666666667
0.048539,28.3221428571
0.050915,28.4021428571
0.054601,24.5315384615
0.047227,24.62
0.046695,22.7378571429
0.048936,22.1970588235
0.082656,21.4109090909
0.047927,21.4013333333
0.047263,18.8466666667
0.059404,18.5114285714
0.049433,31.02
0.04892,30.2082352941
0.048222,35.4458823529
0.047173,19.72125
0.048464,19.220625
0.048575,19.561875
0.048027,19.3646666667
0.048448,19.2753333333
0.049438,17.2723529412
0.049226,17.0888235294
0.049172,17.0423529412
0.049231,16.9288235294
0.060897,17.1976470588
0.049924,16.8458823529
0.049862,17.2261111111
0.048343,17.1529411765
0.04803,17.2305882353
0.049246,17.0264705882
0.049087,17.0088235294
0.047705,16.6058823529
0.047666,17.6123529412
0.047949,17.5829411765
0.048655,17.0811764706
0.048771,17.1282352941
0.048181,16.9688235294
0.049397,17.44
0.048371,17.0870588235
0.048606,17.1088235294
0.04973,17.2952941176
0.048334,17.0788235294
0.047359,16.9852941176
0.046781,16.89
0.046959,16.9229411765
0.047497,17.0223529412
0.047257,17.1988235294
0.047369,16.76
0.047075,17.2758823529
0.047782,17.9870588235
0.047234,17.0811764706
0.047922,16.9211764706
0.04861,23.5111764706
0.047652,17.5735294118
0.047434,17.1058823529
0.047456,16.6788235294
0.048115,16.6394117647
0.048112,16.8941176471
0.048348,17.2088235294
0.04803,16.7623529412
0.048041,17.1147058824
0.048707,16.5123529412
0.048189,17.2617647059
0.049219,17.3947058824
0.049366,16.8705882353
0.050133,16.5864705882
0.048504,16.6594117647
0.049297,16.8794117647
0.048119,16.9876470588
0.049385,16.8464705882
0.050279,17.0494117647
0.048944,16.6423529412
0.049552,16.84
0.050048,16.7688235294
0.050262,17.0929411765
0.048929,17.2470588235
0.049041,16.9117647059
0.049548,16.9423529412
0.049409,16.7917647059
0.049706,16.8225
0.049156,17.5058823529
0.049586,17.1952941176
0.049991,17.3058823529
0.049363,17.2047058824
0.049603,17.1235294118
0.048473,17.0741176471
0.049069,16.9929411765
0.048207,16.7558823529
0.049154,16.8827777778
0.048473,17.2394117647
0.048269,16.8770588235
0.048674,17.2311764706
0.04921,16.7911764706
0.050573,16.8405882353
0.049022,16.8527777778
0.048537,16.8064705882
0.049617,16.9188235294
0.048665,16.84
0.056421,48.423125
0.051549,48.2586666667
0.050347,45.9753333333
0.0507,42.1753846154
0.056305,42.872
0.051727,36.77375
0.051202,36.90875
0.052758,40.7946666667
0.051232,39.6113333333
0.056562,41.7157142857
0.047922,38.8807692308
0.069246,49.26375
0.07028,39.5321428571
0.066531,39.1666666667
0.053396,40.7111764706
0.06342,38.43875
0.070125,53.366875
0.049732,50.178125
0.060725,49.670625
0.051672,34.8773333333
0.050544,35.5188235294
0.057474,35.8029411765
0.051986,35.339375
0.051547,35.5475
0.050071,31.2629411765
0.048327,30.9382352941
0.051553,30.8417647059
0.050328,30.4929411765
0.055168,30.6947058824
0.051631,30.7029411765
0.049253,30.6494117647
0.050002,30.5870588235
0.048604,30.5658823529
0.059228,31.0188235294
0.049981,30.4994117647
0.057326,31.2123529412
0.056667,30.6841176471
0.049507,30.7070588235
0.049896,30.5805882353
0.048658,30.3635294118
0.054402,30.4341176471
0.051379,30.8488235294
0.051098,31.0423529412
0.051731,30.3652941176
0.050525,31.0235294118
0.050432,30.5976470588
0.049328,31.4
0.052453,30.4952941176
0.048827,30.8141176471
0.05005,30.8464705882
0.048837,30.8517647059
0.049287,30.5582352941
0.049628,30.8623529412
0.048274,30.8611764706
0.053453,30.4864705882
0.049961,30.9435294118
0.051398,30.4311764706
0.050433,30.4411764706
0.049737,30.3835294118
0.054493,30.5658823529
0.049343,30.9488235294
0.052228,31.2588235294
0.051139,31.0429411765
0.050513,30.3423529412
0.051313,30.6294117647
0.050176,30.5511764706
0.049431,30.7123529412
0.050836,30.8770588235
