time,cpuLoad
1.452258,51.56
1.291944,38.10
1.291059,39.52
1.366007,42.66
1.359567,41.07
1.369937,43.65
1.376619,45.42
1.37668,41.40
1.349097,40.55
1.378922,42.91
1.427775,47.54
1.534715,60.22
1.443969,58.30
1.27909,41.06
1.405835,49.88
1.407393,45.79
1.361961,43.79
1.410451,45.67
1.379775,45.28
1.34777,41.75
1.468989,47.43
1.408418,49.07
1.328635,41.73
1.404232,45.31
1.369601,44.52
1.310114,40.61
1.40736,47.20
1.400511,47.07
1.28936,40.20
1.387881,46.78
1.377888,44.59
1.296956,38.88
1.286695,53.16
1.357992,50.89
1.386706,49.05
1.358447,61.09
1.245924,33.19
1.354093,48.17
1.3336,45.41
1.291348,40.37
1.328751,44.16
1.29626,43.49
1.351261,47.07
1.279875,49.78
1.297029,42.50
1.294441,39.73
1.43261,54.67
1.291199,44.11
1.37869,40.68
1.384825,43.53
1.337236,43.22
1.2997,38.76
1.379148,44.51
1.289967,48.26
1.33043,47.22
1.405154,54.84
1.285204,56.00
1.250718,34.89
1.535148,60.04
1.516234,56.77
1.33823,43.68
1.337804,44.50
1.307893,41.49
1.350493,45.35
1.499939,50.75
1.304948,40.04
1.368035,43.73
1.340246,44.09
1.298629,40.15
1.386799,43.74
1.338736,43.51
1.290631,38.39
1.364374,49.78
1.32458,43.62
1.371122,41.69
1.288298,44.76
1.544603,69.60
1.218272,40.89
1.368571,48.53
1.3228,44.61
1.274567,40.58
1.376134,45.69
1.294326,46.11
1.282237,41.00
1.30467,42.85
1.304959,43.54
1.301407,40.13
1.302102,43.54
1.295892,42.70
1.321565,40.98
1.341399,43.18
1.388163,41.87
1.323773,43.79
1.390555,43.76
1.397966,49.29
1.386361,56.92
1.281617,52.96
1.335698,48.31
1.368934,44.03
1.353243,44.78
1.620729,70.72
1.913772,68.68
1.325195,74.27
1.767295,69.98
2.046314,82.25
2.183978,78.02
1.614882,73.16
1.928121,75.27
1.909121,74.67
1.685466,68.02
2.506847,79.11
1.625341,85.09
1.733445,76.14
1.745006,76.04
1.81543,78.85
1.691397,62.73
1.850493,70.63
1.549321,59.81
1.760609,60.85
1.45685,59.35
1.810062,76.65
1.498178,70.64
1.76375,78.85
1.667816,83.54
1.6888,77.70
1.629353,74.74
1.928797,87.58
1.500523,75.90
1.543354,73.68
1.72956,76.25
1.523124,75.71
1.353711,68.02
1.417673,73.69
2.660777,84.41
1.886112,81.18
1.556669,71.06
2.160582,80.13
1.935144,77.34
2.073232,76.98
2.389709,82.73
1.855256,82.98
2.010366,80.28
2.399293,81.98
1.991776,72.00
1.59481,53.92
1.585696,60.62
1.878904,69.26
1.929359,65.91
1.758196,75.00
1.866559,77.96
1.566013,71.20
1.39109,70.52
2.165999,74.42
2.000002,74.08
1.535204,70.17
1.912668,76.74
1.808194,74.44
1.916304,63.24
2.006441,63.27
2.224502,72.31
1.813314,67.41
1.700436,62.64
2.125455,74.62
2.233835,72.72
2.725311,76.27
2.46996,74.62
2.28703,73.25
2.282973,73.51
2.325898,75.20
2.1716,73.29
2.223822,73.08
2.036267,68.08
2.286664,79.66
2.101907,78.58
2.056977,71.35
2.494555,79.36
2.305425,77.96
2.161728,64.86
1.491526,52.51
1.522421,57.09
1.891641,60.84
1.524198,54.66
1.33486,44.58
1.301211,41.44
1.337404,46.24
1.88117,60.36
1.51687,64.26
1.512073,52.56
1.326948,47.90
1.371639,43.26
1.465072,47.30
1.169714,51.14
1.239185,44.86
1.490111,61.94
1.39392,53.73
1.313933,56.20
1.35432,47.41
1.296048,42.20
1.353511,45.54
1.357642,45.99
