time,cpuLoad
3.36882,72.05
2.4873049999999997,70.99
2.15341,54.15
2.12657,46.87
1.9516099999999998,54.50
2.4115100000000003,58.61
2.3656200000000003,56.66
2.27369,48.73
2.070145,48.03
2.00569,48.29
2.4882249999999995,58.80
2.09334,51.16
2.3978200000000003,53.05
2.2460699999999996,47.99
2.10734,42.97
2.2495649999999996,56.18
2.48403,68.84
2.2371549999999996,62.50
2.322915,38.50
2.281255,51.77
2.5460649999999996,58.15
2.438955,58.67
2.4328550000000004,59.49
2.1579,49.30
2.1838249999999997,59.79
2.883585,74.12
2.557135,73.56
2.3951449999999994,66.42
2.75422,73.34
3.263255,74.06
2.7744400000000002,75.02
2.885665,78.48
2.346815,64.56
2.666345,72.18
3.189535,87.27
2.563245,68.26
3.3767600000000004,87.66
2.47222,74.57
2.6515050000000002,77.14
2.3955,67.89
2.9220150000000005,72.33
2.4677249999999993,69.69
2.860555,74.81
2.90269,79.82
2.7921150000000003,83.22
3.6662,90.11
3.331285,83.64
2.872085,73.71
2.2556,68.35
2.29373,65.14
