time,cpuLoad
1.193,33.80
1.177,32.82
1.187,31.00
1.164,29.91
1.162,29.94
1.169,31.48
1.18,29.13
1.194,28.81
1.178,29.05
1.173,28.97
1.181,28.60
1.185,28.60
1.182,29.00
1.172,27.99
1.18,27.97
1.18,29.30
1.179,28.31
1.296,29.94
1.201,30.36
1.188,32.15
1.185,28.35
1.195,34.51
1.181,29.71
1.172,28.77
1.883,79.73
1.282,54.75
1.318,50.77
1.235,44.67
1.256,34.69
1.231,35.06
1.248,33.61
1.234,36.87
1.258,37.14
1.246,33.57
1.273,39.32
1.647,59.97
1.25,44.01
1.234,39.46
1.233,35.61
1.253,35.29
1.267,34.99
1.376,37.00
1.259,38.84
1.376,38.46
1.246,52.71
1.295,40.53
1.252,36.80
1.247,43.11
1.278,35.83
1.245,38.45
1.466,47.65
1.364,57.13
1.363,44.99
1.246,44.18
1.268,36.67
1.244,35.76
1.265,45.70
1.362,58.51
1.254,37.59
1.222,35.59
1.204,35.55
1.298,40.88
1.276,56.82
1.387,49.09
1.227,42.79
1.234,35.74
1.235,37.81
1.231,41.68
1.082,42.33
1.286,37.78
1.23,35.23
1.406,40.81
1.339,56.90
1.244,44.30
1.089,40.17
1.238,42.60
1.261,37.46
1.223,35.61
1.241,37.69
1.214,42.38
1.242,40.78
1.316,47.28
1.255,49.71
1.297,45.74
1.249,37.35
1.247,35.57
1.245,35.37
1.224,46.53
1.46,42.13
1.253,37.48
1.229,38.31
1.254,34.58
1.221,40.95
1.133,38.83
1.276,58.77
1.29,39.12
1.259,34.87
1.282,41.59
1.132,41.11
1.882,55.59
