time,cpuLoad
1.583,71.93
1.468,64.63
1.526,64.87
1.433,56.01
1.282,44.72
1.227,46.29
1.275,44.32
1.22,44.83
1.218,44.55
1.213,50.78
1.225,46.63
1.233,52.82
1.186,46.99
1.224,45.86
1.313,48.69
1.217,44.72
1.207,45.30
1.203,47.29
1.215,43.46
1.565,53.03
1.794,89.31
1.355,81.27
2.079,76.79
1.553,79.57
1.293,70.85
1.241,44.36
1.243,44.11
1.256,48.09
1.383,48.96
1.485,50.71
1.262,69.67
1.277,52.51
1.221,49.10
1.21,42.16
1.212,43.50
1.224,44.55
1.249,43.88
1.318,43.61
1.231,42.89
1.203,41.87
1.213,41.22
1.221,41.56
1.207,42.20
1.237,41.18
1.214,40.70
1.245,41.85
1.516,60.78
1.124,48.01
1.191,38.98
1.162,34.13
1.157,38.92
1.157,35.72
1.204,33.36
1.13,35.82
1.111,38.87
1.145,36.28
1.145,35.58
1.212,33.58
1.149,33.21
1.282,49.08
1.185,38.29
1.245,36.50
1.555,60.45
0.274,68.53
1.227,52.29
1.174,49.70
1.2,57.48
1.207,41.87
1.153,61.12
1.138,41.31
1.201,38.07
1.147,34.54
1.226,56.44
1.151,49.61
1.268,51.11
1.34,56.26
1.571,90.86
1.633,89.20
1.595,86.70
1.512,85.14
2.346,88.32
1.578,88.09
1.521,85.51
1.568,87.41
1.566,86.70
1.608,87.34
1.45,71.61
1.432,62.87
1.424,66.51
1.43,68.18
1.525,68.01
1.513,74.18
1.438,66.65
1.432,56.43
1.429,77.06
1.398,58.49
1.388,52.83
1.435,54.90
1.552,56.73
1.403,55.21
