time,cpuLoad
0.204659,90.83
0.190651,81.42
0.207073,56.3
0.198579,51.33
0.203256,47.32
0.202249,48.65
0.20444,49.55
0.199118,50.45
0.213497,48.28
0.170388,79
0.178054,69.91
0.20228,50.45
0.202567,52.14
0.211081,47.83
0.20661,47.9
0.204184,55.75
0.211157,52.14
0.202404,50.44
0.209021,51.56
0.197578,49.07
0.208122,49.57
0.200816,51.35
0.207723,47.83
0.21118,48.7
0.19865,51.82
0.21214,47.83
0.210975,49.57
0.20315,70.69
0.203063,89.84
0.164672,78
0.18719,65.22
0.18702,63.3
0.202287,51.75
0.176129,65.69
0.20241,50
0.201967,49.11
0.212123,50
0.206172,48.25
0.198588,52.59
0.181508,58.25
0.201751,50.88
0.193257,50.47
0.207011,48.25
0.203569,50.43
0.19495,51.38
0.202442,49.11
0.208193,47.79
0.201997,46.36
0.200161,60.91
0.179784,72.88
0.213576,50
0.209364,48.21
0.207581,50.43
0.193076,51.43
0.207977,48.28
0.194453,53.64
0.18733,56.48
0.146412,35.30
0.164836,28.52
0.165931,58
0.168513,59.8
0.201253,62.50
0.215684,80.16
0.200696,66.19
0.200636,55.36
0.16845,62.26
0.155535,63.64
0.155914,62.11
0.16542,72.9
0.174158,60.38
0.162687,65.31
0.174942,60.38
0.176114,67.31
0.15907,66.99
0.174513,61.9
0.155018,67.35
0.16855,63.73
0.154789,76.19
0.169703,84.62
0.165193,81.82
0.172791,86.92
0.176952,90.83
0.243398,99.28
0.179203,89.66
0.186705,87.39
0.174034,79.82
0.157235,67.59
0.165049,75.49
0.170964,75.7
0.156508,46.07
0.149914,44.44
0.154793,46.24
0.146917,44.32
0.153358,46.59
0.151853,60.2
0.154989,55.32
0.151832,41.38
0.148319,42.86
0.153301,57.78
0.151055,58.06
0.218268,95.62
0.182504,78.18
0.179855,70.91
0.184842,66.07
0.276293,77.33
0.172864,65.71
0.178435,64.15
0.198298,77.48
0.190637,77.78
0.17363,72.82
0.18186,65.71
0.179845,67.59
0.168497,68.27
0.212772,49.57
0.211129,48.70
0.213303,49.14
0.2086,47.37
0.204567,48.67
0.192572,55.56
0.204613,52.17
0.208788,49.14
0.209048,49.57
0.207021,50.44
0.190116,57.01
0.210174,50.00
0.200137,51.33
0.164026,65.69
0.167204,66.67
0.216433,96.85
0.167341,84.85
0.150699,73.91
0.163569,81.00
0.151687,77.08
0.159856,80.39
0.156104,78.95
0.156966,75.51
0.169654,75.44
0.162878,70.59
0.158336,76.60
0.151403,61.05
0.153177,56.99
0.145531,51.19
0.147077,54.35
0.158025,50.55
0.143593,53.41
0.155026,58.89
0.150527,52.22
0.146331,50.56
0.149324,50.00
0.153627,75.27
0.15343,57.45
0.157239,53.19
0.145638,49.44
0.163183,71.28
0.175441,72.64
0.169817,68.00
0.160404,68.37
0.180858,71.96
0.182902,67.29
0.173354,63.11
0.173281,62.38
0.176265,60.00
0.17617,58.10
0.170921,58.65
0.172015,57.84
0.175926,59.05
0.18389,60.38
0.167195,60.19
0.17216,60.40
0.178157,56.44
0.18746,56.64
0.182384,57.41
0.180295,57.55
0.159121,62.89
0.144474,69.07
0.151768,72.92
0.158427,72.82
0.159465,72.16
0.158809,73.74
0.162083,75.00
0.152862,72.00
0.159965,53.34
0.155145,71.88
0.155714,72.45
0.162273,72.73
0.159431,76.24
0.146602,48.42
0.158451,45.88
0.170268,52.02
0.145003,48.61
0.194506,54.73
0.149956,44.25
0.153509,41.00
0.165312,54.67
0.151622,43.45
0.151648,42.48
0.146867,41.46
0.145577,38.95
0.142004,37.52
0.170097,41.71
