time,cpuLoad
0.304,41.59
0.306,33.95
0.283,35.52
0.28,42.74
0.295,46.52
0.291,36.31
0.3,39.69
0.369,47.63
0.27,39.96
0.29,49.08
0.293,49.52
0.271,41.88
0.28,49.63
0.288,37.05
0.261,41.19
0.282,34.27
0.292,31.84
0.29,30.27
0.324,29.99
0.289,31.59
0.312,29.44
0.312,29.69
0.314,28.70
0.306,30.16
0.314,31.79
0.302,30.04
0.314,29.91
0.305,29.00
0.306,28.90
0.301,29.19
0.272,30.28
0.304,29.46
0.266,44.25
0.292,33.13
0.308,27.64
0.308,26.04
0.318,26.62
0.317,25.65
0.309,27.78
0.323,25.92
0.304,26.93
0.316,25.76
0.24,40.58
0.242,34.22
0.28,39.71
0.309,27.46
0.287,26.90
0.32,25.70
0.268,27.98
0.322,28.85
0.275,28.50
0.306,26.39
0.3,33.54
0.32,28.19
0.309,27.57
0.322,30.17
0.285,27.47
0.286,27.52
0.268,28.77
0.317,27.54
0.298,27.23
0.3,29.73
0.301,29.15
0.305,27.99
0.275,26.82
0.304,26.21
0.321,26.38
0.319,26.60
0.294,26.31
0.32,28.61
0.265,26.17
0.32,26.43
0.276,27.61
0.308,27.03
0.283,27.12
0.305,32.29
0.315,37.57
0.291,28.13
0.319,27.38
0.316,25.85
0.31,27.70
0.31,27.80
0.315,27.06
0.318,27.88
0.306,29.80
0.309,27.48
0.309,26.62
0.301,27.59
0.31,27.23
0.295,29.50
0.313,27.78
0.316,26.90
0.302,26.81
0.308,26.12
0.307,27.25
0.318,26.43
0.312,26.80
0.319,27.55
0.318,31.84
0.306,27.44
0.365,53.72
0.361,52.18
0.369,55.08
0.289,41.61
0.297,53.32
0.223,41.90
0.327,48.16
0.311,38.45
0.312,53.51
0.297,29.99
0.304,25.64
0.277,35.22
0.321,25.58
0.223,32.27
0.301,41.58
0.298,29.08
0.314,26.51
0.302,25.53
0.317,29.55
0.318,34.06
0.226,28.44
0.261,28.16
0.298,33.23
0.481,36.03
0.288,42.63
0.285,46.71
0.309,47.13
0.302,51.66
0.265,33.56
0.303,32.80
0.291,36.49
0.304,28.15
0.309,25.53
0.3,24.61
0.251,28.15
0.318,31.47
0.236,31.36
0.306,30.09
0.27,31.30
0.307,25.47
0.275,27.31
0.308,24.12
0.298,30.76
0.256,29.64
0.222,30.55
0.309,29.29
0.334,30.03
0.303,53.16
0.301,25.65
0.26,27.65
0.272,62.88
0.465,84.22
0.302,59.97
0.305,68.68
0.405,69.81
0.321,52.88
0.284,48.08
0.439,46.49
0.307,74.62
0.449,80.00
0.935,98.99
1.148,99.83
0.419,95.90
0.565,91.11
0.392,90.16
0.512,84.46
0.328,84.37
0.333,63.19
0.306,68.29
0.306,70.32
0.293,72.77
0.363,67.15
0.365,80.30
0.288,65.67
0.329,74.41
0.318,74.53
0.244,62.90
0.255,53.87
0.265,55.65
0.252,52.96
0.238,50.45
0.257,53.26
0.255,49.43
0.279,62.59
0.311,50.24
0.258,46.10
0.29,59.56
0.298,69.08
0.303,64.52
0.292,64.02
0.28,61.73
0.281,55.44
0.269,57.22
0.282,53.91
0.243,51.29
0.261,50.78
0.25,51.02
0.26,49.67
0.255,54.37
0.271,65.66
