time,cpuLoad
0.255,46.41
0.296,50.73
0.27,58.51
0.268,46.54
0.261,44.61
0.251,40.17
0.322,90.98
0.519,79.01
0.287,84.23
0.27,77.20
0.344,67.11
0.286,56.74
0.276,31.95
0.274,34.95
0.324,65.84
0.314,46.82
0.243,40.38
0.289,36.28
0.278,50.41
0.298,49.19
0.267,66.39
0.283,49.55
0.265,40.30
0.267,54.75
0.261,45.73
0.255,49.31
0.235,53.15
0.234,38.72
0.229,40.41
0.237,35.06
0.232,37.79
0.249,35.53
0.236,39.42
0.238,35.83
0.236,38.03
0.238,38.23
0.24,41.93
0.237,36.51
0.239,36.60
0.236,32.88
0.293,44.46
0.265,51.71
0.268,44.99
0.289,41.36
0.263,47.12
0.263,42.45
0.258,45.85
0.256,42.64
0.265,43.05
0.284,44.82
0.285,70.29
0.259,47.80
0.29,48.97
0.296,73.21
0.298,61.56
0.319,68.02
0.281,52.48
0.25,57.92
0.238,42.98
0.266,41.20
0.274,45.68
0.238,43.64
0.246,64.51
0.27,44.29
0.262,57.88
0.274,59.75
0.279,45.45
0.256,43.55
0.231,35.88
0.245,32.52
0.305,33.69
0.248,36.68
0.28,54.16
0.248,52.44
0.245,57.48
0.249,30.93
0.243,31.84
0.294,42.71
0.243,34.52
0.243,28.29
0.241,33.84
0.246,28.47
0.254,31.14
0.238,31.58
0.247,36.89
0.242,27.79
0.246,25.34
0.242,31.66
0.243,23.75
0.236,24.84
0.244,27.10
0.236,29.08
0.241,32.30
0.247,37.94
0.315,31.93
0.247,52.82
0.24,36.76
0.27,37.66
0.246,43.52
0.244,37.41
