time,cpuLoad
0.931158,59.08
0.862228,40.17
0.851608,47.47
0.860809,38.92
0.839869,38.37
0.85512,37.75
0.847007,38.75
0.844164,40.43
0.961244,67.13
0.846481,52.35
0.841903,39.38
0.850826,37.61
0.848609,38.95
0.85565,37.38
0.882668,42.09
0.869593,38.52
0.878517,36.31
0.88264,37.25
0.874891,36.57
0.898739,48.03
0.864794,40.65
0.88203,36.46
0.8784,36.14
0.875154,37.05
0.84479,52.19
0.870678,47.08
0.811099,37.01
0.883466,36.28
0.88907,36.83
0.867547,37.09
0.918316,57.85
0.875062,39.22
0.885952,37.87
0.88266,36.90
0.890248,38.04
0.875363,46.17
0.892767,36.83
0.875251,37.20
0.880602,37.15
0.894038,36.86
0.878121,40.50
0.908875,48.39
0.874804,36.32
0.865888,36.88
0.88057,36.77
0.864386,40.62
0.879426,50.68
0.72198,47.66
0.758912,37.44
0.839892,47.48
0.756258,34.03
0.834701,55.06
0.811949,56.60
0.844572,65.52
1.189722,85.72
0.910005,72.85
0.817477,44.36
0.730909,38.74
0.727593,37.52
0.731696,35.75
0.829521,46.54
0.82705,46.78
0.820407,40.36
0.880381,47.40
0.862287,43.68
0.839897,39.16
0.84591,39.86
0.858991,38.09
0.869631,50.95
0.852903,38.82
0.841404,38.05
0.851494,37.81
0.85973,44.01
0.846875,37.80
0.826112,39.56
0.881295,55.32
0.845432,42.08
0.802677,42.14
0.833143,38.40
0.862525,39.06
0.866642,41.80
0.888022,44.59
0.863682,39.75
0.86931,37.98
0.864853,37.77
0.871813,37.97
0.905172,52.27
0.780647,44.16
0.79081,33.59
0.884137,39.56
0.866873,41.00
0.889086,37.63
0.886725,44.97
0.876692,37.61
0.87939,37.76
0.879842,38.66
0.870454,37.78
0.885404,50.36
0.869383,41.16
0.890703,36.93
0.914901,56.12
0.841943,40.30
0.850571,42.14
0.820173,43.76
0.881923,55.25
0.855872,41.61
0.858083,41.41
0.868386,42.53
0.874316,39.91
0.874775,50.58
0.960405,58.54
0.868689,41.54
0.886867,37.30
0.883249,37.59
0.884013,39.81
0.875537,51.84
0.873773,38.84
0.859313,43.58
0.871328,38.42
0.860734,39.96
0.847971,37.06
0.879799,47.00
0.892324,44.82
0.835114,42.70
0.804274,43.74
0.797372,44.38
0.874439,48.29
0.910804,50.22
0.841884,43.08
0.83522,58.89
0.883865,37.49
0.865263,43.06
0.901706,55.17
0.863343,38.20
0.888778,38.93
0.887211,37.35
0.881636,37.05
0.911913,48.54
0.865709,36.53
0.873417,37.10
0.892242,37.84
0.862991,37.72
0.9056,46.62
0.816806,54.54
0.776555,38.37
0.898518,55.25
0.811234,51.93
0.808756,48.69
0.784317,42.14
0.89632,37.60
0.891152,37.06
0.874031,39.80
0.851858,60.13
0.722178,53.56
0.89807,70.79
0.730218,46.84
0.703209,34.52
0.684121,27.69
0.692896,29.64
0.75934,47.29
0.849489,52.04
0.824046,53.67
0.8171,44.09
0.82967,40.16
0.849705,41.41
0.843066,38.72
0.837464,40.23
0.832439,40.55
0.814049,65.65
0.719284,51.70
0.767723,50.34
0.690697,49.57
0.753184,44.23
0.908586,52.83
0.810071,54.80
0.721863,50.73
0.748485,47.29
0.792851,51.62
0.677897,41.04
0.840613,61.41
0.85328,50.73
0.798353,52.39
0.75444,47.28
0.709073,46.50
0.692838,46.74
0.852217,54.39
0.802049,54.14
0.80247,53.97
0.909465,46.30
0.865452,35.82
0.874262,37.35
0.83995,52.32
0.912563,52.76
0.868912,37.50
0.875525,38.29
0.868911,39.64
0.890388,37.53
0.900707,54.02
0.715549,41.92
0.759011,44.14
