time,cpuLoad
0.847,29.55
0.955,59.51
0.996,54.05
0.879,36.29
0.871,39.44
0.866,31.02
0.896,32.36
0.868,30.90
0.877,33.48
0.871,31.25
0.867,32.61
1.043,32.44
0.878,40.79
0.884,33.73
0.872,32.98
0.886,32.11
0.879,32.28
0.892,32.18
0.894,34.36
0.888,32.68
0.872,34.80
0.871,32.53
0.878,35.59
0.874,32.43
0.89,39.48
0.87,31.52
0.88,35.30
1.124,46.54
1.168,58.12
1.172,51.29
1.18,65.82
1.17,76.18
1.169,57.77
1.448,63.14
1.13,46.70
1.118,47.42
1.135,49.40
1.32,61.91
1.186,41.59
1.357,50.77
1.38,72.78
1.171,74.89
1.247,69.59
1.117,62.75
1.024,42.18
1.229,39.49
1.106,54.70
1.208,48.29
1.161,43.39
1.12,39.62
1.1,43.35
1.14,34.36
1.125,31.88
1.124,29.38
1.173,40.29
1.139,29.20
1.11,28.75
1.135,29.71
1.111,27.81
1.139,29.95
1.141,29.38
1.076,35.73
1.079,33.33
1.127,42.55
1.239,43.98
1.122,37.23
1.121,27.96
1.122,29.18
1.12,34.01
1.125,29.07
1.145,27.25
1.149,26.56
1.118,26.98
1.152,27.03
1.046,25.95
1.126,26.38
1.144,26.32
1.156,26.25
1.135,25.52
1.155,26.63
1.15,26.46
1.13,25.37
1.155,25.49
1.149,26.51
1.147,27.72
1.16,25.75
1.152,26.46
1.121,25.52
1.148,26.46
1.144,26.94
1.136,27.70
1.144,26.22
1.154,24.29
1.156,26.40
1.134,25.14
1.155,24.69
0.908,27.81
1.133,27.39
1.156,25.46
1.084,28.13
