time,cpuLoad
0.77,27.79
0.776,55.82
0.71,50.12
0.81,44.87
0.702,28.38
0.699,28.28
0.786,32.35
0.772,28.23
0.695,30.17
0.705,32.15
0.77,32.25
0.698,32.93
0.713,28.90
0.712,29.01
0.704,29.61
0.7,29.43
0.767,29.27
0.696,29.87
0.77,32.38
0.698,32.93
0.82,35.44
0.729,44.32
0.778,31.87
0.781,31.27
0.777,31.03
0.774,30.61
0.704,36.09
0.717,17.26
0.819,46.81
0.796,49.94
0.791,35.98
0.779,34.21
0.888,43.93
0.706,32.96
0.78,33.20
0.706,33.03
0.796,42.21
0.715,36.06
0.775,34.48
0.714,35.08
0.856,33.80
0.771,31.38
0.777,30.78
0.769,31.04
0.724,31.07
0.843,29.00
0.881,55.46
0.737,45.83
0.812,23.74
0.792,41.58
0.983,62.92
0.838,54.09
0.78,37.74
0.708,30.04
0.7,35.15
0.766,33.92
0.77,33.90
0.781,29.37
0.778,29.97
0.7,30.62
0.706,30.04
0.699,31.99
0.769,30.81
0.774,34.57
0.699,35.22
0.725,36.57
0.772,31.72
0.784,33.62
0.773,31.45
0.706,30.89
0.787,31.86
0.696,30.26
0.721,36.80
0.809,37.31
0.787,41.46
0.731,37.01
0.786,30.60
0.775,34.41
0.714,31.24
0.702,30.71
0.699,30.63
0.778,35.68
0.77,33.85
0.701,35.44
0.706,31.65
0.737,38.51
0.776,32.43
0.721,34.20
0.72,32.66
0.733,34.38
0.804,36.61
0.733,37.94
0.727,36.69
0.723,33.44
0.788,39.62
0.772,38.01
0.803,38.47
0.695,32.17
0.709,32.37
0.696,38.81
