time,cpuLoad
1.893,50.84
1.86,40.73
1.797,47.34
1.625,46.46
1.743,39.89
1.725,40.53
1.743,40.69
1.781,42.75
1.766,40.67
1.782,39.99
1.706,38.78
1.91,41.20
1.733,40.49
1.716,39.23
1.703,36.50
1.789,38.25
1.791,38.20
1.757,38.63
1.668,36.95
1.774,38.55
1.729,40.71
1.737,38.11
1.73,38.07
1.786,38.87
1.752,37.64
1.939,37.41
1.709,36.05
2.164,50.80
2.015,59.66
2.091,59.54
1.925,59.32
1.804,41.86
1.782,37.95
1.814,37.62
1.705,43.18
1.606,41.09
1.763,40.08
1.94,42.14
1.753,44.06
1.837,40.00
1.774,41.17
1.805,38.83
1.814,43.93
1.711,43.18
1.726,40.52
1.717,49.74
1.831,42.37
1.845,40.75
1.752,38.83
1.827,38.78
1.685,39.63
1.761,41.30
1.81,43.88
1.825,39.73
1.772,40.87
1.766,38.94
1.824,40.46
1.798,40.17
1.761,39.70
1.708,43.74
1.777,39.55
1.755,39.65
1.817,42.13
1.841,41.32
1.767,39.49
1.927,41.73
1.777,43.25
1.625,43.89
1.75,40.83
1.952,41.31
1.814,44.71
1.781,38.81
1.841,40.42
1.787,42.29
1.591,42.72
1.731,43.15
1.817,40.17
1.726,44.57
1.767,43.08
1.78,41.55
1.751,41.48
1.793,41.21
1.822,42.54
1.726,39.96
1.53,39.10
1.809,42.92
1.894,40.77
1.799,40.93
1.873,40.48
1.769,38.79
1.709,38.48
1.814,40.91
1.849,45.41
1.759,45.91
1.77,39.18
1.832,40.96
1.801,39.51
1.812,37.21
1.622,38.40
1.544,44.45
