time,cpuLoad
1.579,37.86
1.588,49.19
1.624,44.30
1.691,40.46
1.687,35.20
1.684,37.59
1.66,37.13
1.64,36.39
1.612,33.63
1.647,34.30
1.563,32.64
1.723,40.03
1.719,38.76
1.668,39.24
1.574,33.45
1.576,34.15
1.666,37.56
1.577,33.62
1.567,34.88
1.659,34.29
1.645,45.07
1.736,40.94
1.784,40.69
1.738,57.73
1.624,54.49
1.604,44.17
1.598,35.51
1.688,45.16
1.803,36.23
1.729,36.50
1.694,36.87
1.754,41.26
1.657,38.08
1.653,34.93
1.616,37.78
1.591,32.53
1.574,33.14
1.592,34.93
1.765,41.64
1.754,45.63
1.618,40.26
1.653,36.48
1.561,33.90
1.682,35.62
1.574,36.39
2.05,73.55
1.952,77.23
2.497,64.32
1.851,50.16
1.62,56.05
1.659,42.09
1.716,39.36
1.651,38.86
1.639,39.77
1.657,36.23
1.641,37.24
1.629,37.05
1.765,41.39
1.654,44.90
1.834,41.15
1.647,38.69
2.591,58.86
1.774,58.19
1.772,47.57
1.583,44.09
1.695,40.57
1.768,45.25
1.699,45.61
1.77,37.91
1.675,38.66
1.69,37.87
1.686,38.04
1.742,39.40
1.656,40.18
1.635,37.77
1.732,41.07
1.724,47.90
1.799,50.71
1.844,43.29
1.825,43.29
1.692,41.95
1.72,41.68
1.642,42.61
1.703,40.44
1.729,45.31
1.688,43.69
1.672,41.14
1.662,41.64
1.639,40.78
1.63,37.64
1.583,37.80
1.634,37.58
1.634,38.10
1.826,45.66
1.797,40.78
1.808,45.55
1.842,41.65
1.636,38.76
1.715,40.97
1.76,37.94
