time,cpuLoad
5.762,40.98
5.994,40.09
6.137,39.77
6.228,38.32
6.382,37.14
6.25,37.50
6.348,35.69
6.342,35.35
5.273,48.89
4.999,35.58
5.077,26.99
5.126,34.09
5.075,29.21
5.017,39.79
5.181,33.30
5.09,30.18
4.972,27.09
5.113,35.42
5.006,24.56
5.842,37.17
5.261,35.24
5.182,41.17
6.367,37.57
6.342,36.34
6.389,36.30
6.263,46.66
6.338,35.94
6.346,36.30
5.469,44.15
5.11,31.65
5.034,26.70
5.082,29.02
5.224,34.43
5.017,27.55
5.452,34.46
6.373,49.03
6.442,37.41
6.278,46.91
6.315,34.89
6.341,35.46
6.373,37.43
6.397,34.95
5.815,54.43
5.033,30.90
5.003,27.21
5.342,31.49
5.043,32.82
5.029,27.78
5.028,26.35
5.143,28.55
5.012,32.67
5.04,28.91
5.097,28.71
5.132,28.91
7.543,56.20
6.235,55.18
6.231,46.32
7.956,55.90
7.577,70.35
6.299,43.10
6.372,38.71
6.278,39.00
6.341,39.06
6.415,40.60
6.332,35.05
5.655,56.91
5.301,43.34
5.128,32.19
5.161,28.51
5.327,32.37
5.24,37.10
5.331,34.68
5.306,38.67
6.434,36.40
6.367,45.40
4.989,54.42
4.852,54.53
5.38,54.51
5.538,65.15
5.922,57.08
6.48,39.27
6.246,39.92
4.802,34.92
4.876,34.09
4.948,30.56
4.888,29.62
4.886,28.06
4.817,34.68
4.857,28.58
4.826,27.32
4.848,27.51
4.838,28.23
4.876,27.36
4.833,28.11
4.853,27.62
4.78,27.47
4.902,29.17
4.862,29.82
4.861,27.73
4.795,28.95
