time,cpuLoad
4.595,32.78
5.008,33.39
4.591,31.93
4.523,31.10
4.647,31.59
4.628,36.04
5.428,49.73
5.327,47.83
4.639,36.07
4.636,33.49
5.301,36.62
5.058,46.51
4.811,46.66
4.621,44.24
5.024,42.01
4.819,36.33
4.702,36.60
4.642,36.13
4.568,37.11
5.998,64.59
4.793,60.70
4.623,32.80
6.406,59.30
4.778,43.54
5.721,40.84
4.652,35.88
5.622,50.06
6.501,43.17
5.461,40.47
5.314,46.60
4.989,41.36
5.069,40.56
5.083,35.59
6.83,48.95
5.423,42.77
4.978,35.19
4.925,33.21
4.808,30.73
4.532,30.24
4.586,35.40
4.558,34.40
5.013,34.16
4.577,32.26
4.558,31.71
4.989,30.35
4.967,33.67
5.02,32.51
5.262,47.11
4.449,43.42
5.6,40.92
5.271,40.26
6.147,36.15
4.597,32.86
4.635,34.69
4.575,34.85
5.404,37.88
4.943,43.63
5.284,51.82
5.113,44.30
4.683,29.47
4.988,24.48
6.026,29.13
5.13,32.33
5.164,36.80
5.132,36.27
4.583,31.32
4.707,26.99
5.234,35.76
5.135,19.88
5.172,39.65
4.62,32.90
4.541,28.13
4.589,28.95
4.487,34.41
5.342,33.37
4.706,33.85
4.659,44.57
5.147,33.71
4.593,31.98
5.06,35.11
5.847,39.60
4.603,35.04
4.803,36.81
4.74,38.46
5.006,60.64
4.939,54.01
5.079,52.09
4.646,37.09
4.996,24.94
5.042,24.06
4.652,21.91
4.562,34.69
4.794,40.12
4.85,37.86
4.587,31.46
5.142,28.06
4.705,28.70
4.604,31.37
5.047,25.54
4.921,31.38
