time,cpuLoad
3.16,39.89
3.147,32.42
3.32,34.34
3.319,27.75
3.005,28.53
3.092,33.06
3.206,31.33
3.16,29.49
3.251,32.83
3.248,35.29
3.566,40.90
3.335,50.04
2.679,35.46
3.22,31.50
3.254,40.59
3.305,36.08
3.247,49.03
2.998,33.16
2.875,34.36
3.183,30.35
3.219,30.48
3.426,35.80
3.611,47.15
3.163,34.39
3.307,58.32
2.76,42.23
3.192,39.13
3.983,49.77
4.822,78.36
3.304,64.30
3.274,53.91
3.982,61.22
4.462,55.44
3.121,62.70
3.207,40.65
4.064,69.88
3.259,67.24
3.238,49.54
3.178,40.36
3.417,51.10
2.776,35.65
3.977,46.19
3.228,39.67
3.228,36.65
3.289,31.17
3.038,32.25
3.617,78.50
3.642,62.16
7.631,62.13
3.462,41.81
4.231,59.19
3.311,46.73
3.435,57.37
3.868,79.28
3.317,44.82
3.186,42.20
3.359,56.57
3.467,59.21
3.535,66.58
3.628,70.84
3.316,52.29
3.051,55.74
3.203,38.27
3.161,38.01
3.26,38.75
3.291,41.35
3.183,40.07
3.269,40.73
3.212,40.54
3.216,42.64
3.171,38.25
3.258,40.90
3.246,39.45
2.981,35.63
3.03,41.83
3.143,38.74
3.2,39.91
3.164,40.04
3.265,38.10
3.292,36.29
3.034,39.45
3.122,41.75
3.167,36.92
3.141,42.56
3.202,43.78
3.287,39.94
3.206,37.23
3.048,38.14
2.955,41.57
3.266,41.06
3.143,37.69
3.227,38.12
3.266,37.86
3.262,37.87
3.143,37.48
2.915,40.85
3.204,38.62
3.166,37.96
3.259,40.80
3.251,37.55
