time,cpuLoad
3.133,34.32
2.989,31.78
3.095,30.30
3.095,31.83
2.984,30.53
2.973,33.22
3.076,27.12
2.988,30.61
3.078,29.52
3.112,31.96
3.188,29.61
2.983,29.50
2.969,26.63
2.984,28.88
2.968,29.89
3.281,36.49
3.084,39.61
3.038,44.89
3.082,32.10
3.12,33.97
3.098,30.13
3.014,35.37
3.089,33.31
3.002,41.11
2.987,32.38
3.002,31.68
3.033,35.96
3.013,30.35
3.221,33.61
3.039,40.83
3.078,33.84
2.975,33.91
3.111,29.85
3.006,30.69
3.19,36.65
3.019,39.40
2.983,31.33
2.984,32.83
3.136,28.26
3.055,29.69
3.136,39.22
3.079,35.57
3.042,31.89
2.995,35.77
3.016,32.02
3.172,31.23
3.084,36.25
2.981,32.92
3.205,31.68
3.072,37.33
3.094,30.23
3.276,33.71
3.138,34.77
3.018,31.74
2.966,28.46
3.165,41.29
3,29.55
3.138,30.70
3.305,37.53
3.257,37.99
3.06,28.09
3.047,30.98
3.096,30.54
2.996,31.95
3.223,40.83
3.037,38.74
3.098,29.86
3,30.62
3.006,27.59
2.995,28.95
3.113,34.18
3.222,38.28
3.213,30.93
3.101,31.39
3.205,28.57
2.997,29.64
3.111,38.01
3.095,42.33
2.975,31.13
3.091,33.01
2.998,27.50
3.077,28.87
3.115,39.06
3.009,34.30
3.063,31.68
3.008,32.11
3.175,32.40
2.982,30.04
3.066,40.27
3.076,33.17
3.152,29.36
2.971,31.09
3.03,29.93
3.135,35.08
3.142,39.56
3.127,31.11
3.201,32.18
3.006,28.96
3.079,29.57
3.173,41.96
