time,cpuLoad
0.150377,66.4
0.137924,61.47
0.149738,70.87
0.132411,64.55
0.120174,62.14
0.153258,51.72
0.153422,50
0.152073,50.88
0.156762,54.17
0.150467,51.3
0.155316,54.55
0.149563,52.21
0.156637,51.24
0.149251,53.45
0.154257,53.39
0.149192,51.33
0.154835,52.54
0.151958,53.85
0.151755,50.45
0.155962,51.26
0.153044,58.06
0.152211,50.86
0.155154,52.07
0.147695,53.91
0.151678,52.17
0.152824,52.59
0.148057,53.57
0.152496,51.72
0.148647,52.63
0.15351,53.39
0.152138,50.44
0.152801,52.14
0.155487,53.39
0.153292,53.91
0.156949,51.69
0.1519,52.17
0.155097,52.54
0.153565,51.75
0.155323,52.46
0.140483,55.05
0.127054,48.29
0.175101,75.61
0.133347,71.3
0.130991,69.83
0.128098,68.75
0.146363,60.47
0.12829,56.52
0.146246,57.76
0.124053,63.21
0.121498,50
0.125614,52.88
0.118348,61.22
0.124661,63.89
0.122501,66.04
0.129725,67.54
0.12753,63.89
0.124619,69.81
0.122095,83.64
0.128329,72.57
0.138483,90.91
0.119311,77.36
0.118047,72.82
0.118295,72.92
0.119779,72.82
0.120631,73.27
0.121288,75.93
0.128888,72.73
0.129966,76.03
0.126342,70
0.148774,53.98
0.145982,50
0.149726,50.44
0.14748,50.46
0.149284,50
0.133461,56.76
0.118265,69.72
0.110966,47.19
0.115038,47.96
0.110512,43.48
0.11175,60.42
0.117076,61.39
0.137885,62.83
0.127059,64.15
0.137007,70
0.134813,57.39
0.138619,53.21
0.133238,53.77
0.138167,55.75
0.134402,55.36
0.138176,52.78
0.138111,53.64
0.135707,55.05
0.14448,51.79
0.148004,52.17
0.142339,51.79
0.14442,51.82
0.140106,51.85
0.144163,50.43
0.137822,55.14
0.140864,54.87
0.144358,78.79
0.148924,56.03
0.147913,52.99
0.119085,66.06
0.153621,77.7
0.141093,61.86
0.148977,52.14
0.149545,52.5
0.149648,51.69
0.14902,59.02
0.144851,53.91
0.14521,51.75
0.146598,53.85
0.143889,57.26
0.149645,53.45
0.145346,52.59
0.143932,55.08
0.144762,54.24
0.141692,54.21
0.150422,52.94
0.14858,54.78
0.14858,53.85
0.142764,57.26
0.148453,53.78
0.148147,55.08
0.143956,54.17
0.147137,54.39
0.149479,53.45
0.147265,54.31
0.14557,51.69
0.143759,53.04
0.147615,51.35
0.150657,51.69
0.14619,50.85
0.14921,50
0.146443,49.12
0.149635,51.69
0.145782,55.73
0.149277,51.67
0.148006,53.04
0.148988,50
0.150109,50
0.147248,51.3
0.149467,51.64
0.150461,51.72
0.149033,52.54
0.150025,52.59
0.147252,52.17
0.14701,51.72
0.149362,52.99
0.150679,52.59
0.148417,52.14
0.148182,50.86
0.149215,51.3
0.147471,51.3
0.150426,51.26
0.159487,56.67
0.160525,52.5
0.156811,53.39
0.153586,57.98
0.163761,54.84
0.1591,54.55
0.15874,50.83
0.155632,55
0.156188,52.89
0.157215,56.1
0.157793,49.58
0.157197,52.89
0.156009,46.85
0.157009,52.8
0.155111,53.33
0.151563,52.94
0.148789,51.75
0.149515,50.86
0.15826,52.85
0.156365,52.89
0.158715,52.1
0.155508,52.1
0.153884,53.33
0.160815,52.14
0.159423,52.46
0.156183,54.84
0.156596,51.26
0.153766,50.43
0.157889,52.07
0.155224,51.69
0.155278,52.5
0.157206,53.39
0.157612,52.89
0.158905,51.26
0.154708,52.99
0.155395,52.85
0.143851,58.12
0.158008,52.07
0.155706,51.24
0.151639,55.56
0.149996,59.02
0.145967,67.72
0.14985,50
0.153624,52.07
0.309316,91.82
0.384204,99.88
0.549415,95.54
0.147371,89.63
0.129589,77.31
0.138592,81.67
0.142625,82.93
0.160248,90.98
0.122667,84.52
0.226644,92.53
0.172392,91.39
0.250534,96.48
0.16926,89.12
0.168987,85.42
0.248902,86.84
0.23026,84.42
0.156946,87.07
0.225895,90.28
0.166147,88.19
0.182279,90.66
0.398271,99.19
0.258509,93.98
0.164231,90.45
0.184142,80.57
0.288992,97.38
0.159259,70.00
0.168495,66.41
0.189677,68.20
0.245705,94.89
0.1876,90.85
0.188112,81.91
0.175681,84.17
0.13485,76.61
0.16727,86.76
0.147909,64.62
0.153044,64.29
0.153219,56.90
0.144356,68.64
0.153295,57.63
0.16142,63.33
0.170632,68.80
0.156529,58.73
0.151884,68.00
0.146175,62.07
0.151558,65.22
0.160266,88.70
0.158743,69.60
0.157633,56.30
0.180934,66.67
0.155256,68.49
0.149741,59.65
0.158188,56.10
0.155622,63.11
0.150967,53.72
0.153366,59.50
0.15095,53.78
0.160363,68.29
0.149727,60.34
0.137901,55.36
0.143169,57.89
0.147125,56.56
0.146308,54.78
0.152559,63.11
0.153198,64.12
0.15102,69.49
0.143878,59.35
0.144838,55.37
0.141304,60.00
0.144457,57.76
0.156757,60.33
0.152565,64.34
0.155193,56.56
0.177086,82.44
0.18788,83.23
0.15874,67.94
0.144738,60.48
0.141543,63.41
0.145714,67.48
0.149763,72.46
0.167045,88.32
0.165096,79.58
0.142707,45.64
0.194976,78.16
0.160543,81.40
0.200944,97.04
0.133599,68.47
0.151981,89.23
0.12106,53.92
0.13615,62.99
0.123233,57.27
0.1225,48.54
0.144435,59.29
0.15395,60.80
0.147566,70.77
0.149016,59.50
0.143699,50.00
0.162039,91.37
0.16071,91.95
0.149971,81.34
0.153153,79.41
