time,cpuLoad
5.419425,56.29
5.90888,61.11
5.852996,64.01
5.33672,44.31
6.477681,65.99
5.999488,58.15
6.309504,65.90
5.56092,56.52
5.739293,52.86
5.739175,56.10
6.436872,65.53
5.960578,53.33
6.031513,57.22
5.363835,43.92
6.344578,55.42
5.87748,53.62
5.826055,50.42
5.83706,48.15
5.813243,48.33
5.863213,48.54
5.856106,49.22
5.831314,51.41
6.247193,55.93
6.333634,57.78
6.221458,54.15
7.826055,74.65
6.409036,57.02
6.086555,53.97
6.027783,54.98
5.886511,54.01
6.67617,66.42
5.934308,52.78
5.90575,50.90
5.262659,41.15
5.263507,39.16
5.243325,39.39
5.231059,41.79
5.26747,39.85
5.215621,39.92
5.257475,39.50
5.104088,46.94
4.645156,51.78
4.388951,55.38
4.568331,54.25
4.241257,55.44
4.262942,54.85
4.242377,54.33
4.380547,53.37
4.256153,52.73
4.535319,53.33
4.275946,54.76
4.262992,55.27
4.289834,55.31
4.242158,55.28
4.264436,56.02
4.350073,53.63
4.588981,48.57
4.49171,48.13
4.613821,50.40
4.479306,51.25
4.558791,49.65
4.848185,49.20
4.674569,50.03
4.637061,48.56
4.688041,48.27
4.701502,49.74
4.765365,48.46
4.701741,48.69
4.67058,48.91
4.671621,49.15
4.662766,48.30
4.660865,48.68
4.684205,48.26
4.832056,48.38
4.812824,50.02
4.709875,48.11
4.63813,47.54
4.646763,46.97
4.713582,53.86
4.742597,49.06
4.717855,49.09
4.694307,50.53
4.401045,51.88
4.651251,49.73
4.859979,48.74
4.505983,51.90
4.912141,47.56
5.18755,43.03
5.25753,40.67
5.205689,40.92
5.219242,42.04
5.204098,40.58
5.229885,39.77
5.222318,40.38
5.215279,40.01
5.219193,40.24
5.220068,39.65
5.238879,39.72
5.071411,43.60
5.279155,40.16
5.306077,40.63
5.297155,39.86
5.233299,40.00
6.156348,62.25
5.396092,49.61
6.090767,63.62
7.763196,78.76
6.710374,73.20
5.900255,55.80
5.339391,48.63
5.420771,52.98
5.383603,50.13
5.507246,58.59
5.462705,51.69
5.275131,43.64
5.509578,48.24
5.352423,44.85
5.350911,46.64
5.302883,50.00
5.298899,42.24
5.311374,47.12
5.374064,51.36
5.601282,52.52
7.968048,87.27
7.288269,77.94
5.668115,56.84
9.187075,75.20
8.609798,68.35
9.661493,84.66
13.154206,90.96
15.546911,90.07
6.571368,60.82
9.050511,77.50
11.489835,91.11
11.610342,84.82
10.170158,74.07
9.961428,73.26
10.437517,74.74
9.806966,73.68
10.375248,76.69
10.12702,72.74
11.083554,75.02
9.56089,73.96
9.234016,76.26
10.754786,79.07
8.346356,67.68
8.185675,65.21
8.269866,67.13
8.13086,75.13
7.779384,69.21
7.612735,68.66
7.88055,67.21
8.542024,71.10
8.880661,73.67
8.602263,70.03
8.417601,67.99
8.152933,67.82
8.704574,72.62
8.242847,70.73
8.340014,66.60
8.12786,65.81
7.71768,67.37
7.405358,69.58
7.569298,67.49
7.486118,69.29
7.685498,69.07
9.310429,76.52
6.232908,63.49
8.925944,73.43
8.771111,68.81
8.729328,70.43
7.447338,74.76
5.928658,56.95
5.439989,52.81
6.805128,77.18
7.397964,87.79
4.863033,51.85
5.579752,53.46
5.605764,53.55
7.013933,69.07
6.465994,70.37
5.496124,56.03
5.417636,50.58
5.289115,44.53
5.265979,49.49
5.221119,45.97
5.245238,45.79
5.963166,62.63
5.394495,64.02
6.260577,71.78
7.546875,88.76
7.197104,81.42
6.627287,67.03
6.492179,63.84
5.2623,50.34
6.212952,69.47
6.353649,63.31
5.877038,64.85
5.597119,57.60
6.359973,65.12
5.550143,60.44
6.47294,67.96
6.026733,71.48
