time,cpuLoad
1.530777,15.0811764706
1.302142,15.53
1.306673,15.3817647059
1.3117,14.9988235294
1.313728,19.3188888889
1.316891,15.0770588235
1.563142,30.1758823529
1.563388,50.1722222222
1.417389,31.7905882353
1.867869,26.7522222222
1.382597,18.2641176471
1.313785,19.2711764706
1.553884,24.8523529412
1.420725,22.0164705882
1.319489,27.2477777778
1.378595,44.7605882353
2.186173,44.9338888889
1.545545,41.1122222222
1.341315,19.0438888889
1.304055,24.6052941176
1.557599,56.7094117647
1.913627,41.2655555556
1.385496,25.3141176471
2.77439,18.7635294118
1.698651,29.7035294118
1.440645,34.6072222222
1.451785,18.4205555556
1.432681,38.6152941176
1.557915,27.4505882353
2.466337,35.6144444444
1.323842,18.1241176471
1.424747,14.6833333333
1.339734,16.0688235294
1.470877,36.6488235294
1.475871,32.4870588235
1.574374,24.6470588235
1.522314,22.3755555556
1.544663,20.8327777778
2.401231,26.9729411765
1.792303,36.9088888889
1.815003,32.6352941176
1.684019,20.8044444444
1.318742,17.5011111111
1.320844,19.5088235294
1.314796,17.0476470588
1.314024,16.3722222222
1.326798,17.0633333333
1.383251,29.1317647059
1.324875,29.1194444444
1.341103,32.0335294118
1.340621,34.8576470588
1.351705,33.7688235294
1.349999,35.2922222222
1.351085,34.5405882353
1.352324,34.175
1.324748,27.6547058824
1.29344,28.3976470588
2.405645,58.4023529412
1.753617,40.5416666667
1.330809,50.6864705882
1.659206,46.0477777778
1.676664,42.4582352941
1.782217,34.4823529412
1.323392,24.1894117647
2.696744,57.1594444444
1.438022,27.9094444444
1.748314,33.6688235294
1.339655,24.3005555556
1.339807,23.1388235294
1.348895,25.8476470588
1.340588,24.7427777778
1.33239,37.5441176471
1.347066,27.7082352941
1.356132,31.04
1.34297,24.5647058824
1.375931,29.8223529412
1.880325,35.6182352941
1.543807,44.6752941176
1.329422,24.3335294118
1.341833,24.3238888889
1.33815,23.3929411765
1.345728,23.6094117647
1.315891,18.9805882353
1.345363,31.4605555556
1.349788,31.9452941176
1.357125,31.8541176471
1.363914,32.5470588235
1.353657,31.8829411765
1.355573,32.1988235294
1.360419,33.0294444444
1.351936,32.3794444444
1.35735,31.1705882353
1.359135,32.0194117647
1.376854,43.5558823529
1.356521,32.3755555556
1.359952,31.4058823529
1.375803,32.1705882353
1.353312,32.2711111111
1.356989,32.925
