time,cpuLoad
2.19895,44.7583333333
2.28839,41.5922222222
2.40417,43.1238888889
7.148145,85.9644444444
5.820835,53.9627777778
2.15311,24.77
2.15311,13.5494117647
1.939335,18.5829411765
2.02414,17.1433333333
2.54093,15.0911764706
2.210235,43.2388888889
2.326555,16.3870588235
2.2979,16.3788235294
2.09543,18.4511764706
2.065965,19.2083333333
2.645815,16.6494117647
2.24069,21.1288888889
1.87098,15.255
1.986875,18.7035294118
2.01412,17.8272222222
2.67886,39.1944444444
2.09303,19.05
2.066225,18.0616666667
2.03229,15.6188235294
2.11016,16.4894444444
2.017785,17.4911764706
2.084035,18.0777777778
1.91638,16.1523529412
1.979675,17.7744444444
1.932555,18.5552941176
1.987555,18.9994117647
2.114805,19.9147058824
2.2806,19.1923529412
1.91279,21.6658823529
2.039315,17.06
2.02954,19.8705882353
2.28238,16.2027777778
2.010675,16.8511111111
1.930815,13.6264705882
2.09107,20.1505882353
2.17153,18.7788888889
1.87313,13.9888235294
1.912935,13.5429411765
1.91156,16.2133333333
1.897035,13.6482352941
1.863205,15.2183333333
1.92505,13.1947058824
1.917185,16.3347058824
1.942575,13.9470588235
1.961645,13.8152941176
1.965535,17.3129411765
2.002515,14.6870588235
1.94298,13.8564705882
1.90311,13.5705555556
1.957325,15.7670588235
1.983365,13.6935294118
1.920275,13.7752941176
1.89929,13.9647058824
1.903895,17.9876470588
1.960085,14.6805882353
1.97129,20.7423529412
1.968585,17.0729411765
1.90317,16.4105882353
1.873425,13.7064705882
2.107995,20.25
2.606495,16.6088235294
1.97938,16.7155555556
2.024395,14.7229411765
1.90914,13.3123529412
1.957995,13.6494117647
1.93821,13.9905882353
2.712,25.85
2.07404,13.9076470588
1.910235,16.1723529412
1.869255,13.7341176471
1.96477,14.4076470588
1.86667,14.0372222222
1.94844,19.2058823529
1.97166,16.7194117647
1.9997,14.3552941176
2.011635,14.8641176471
1.96156,14.3847058824
1.99726,15.8
1.96784,16.0352941176
1.963075,15.5838888889
2.139705,14.7758823529
2.064775,13.1617647059
1.966895,16.2105882353
2.15357,13.3441176471
1.865505,11.5452941176
1.68543,19.9188235294
1.969195,14.1082352941
1.956185,12.2564705882
2.03063,13.2147058824
1.97869,13.365
1.966725,15.4017647059
2.03569,17.9017647059
1.942825,12.4117647059
