time,cpuLoad
3.572,55.57
2.719,41.63
7.299,100.0
7.299,61.7711764706
3.255,40.1211764706
3.207,37.3035294118
2.532,42.9805882353
3.109,38.4929411765
2.552,52.8844444444
2.799,42.3517647059
3.778,33.1855555556
2.753,34.7676470588
2.395,34.9029411765
3.499,49.4377777778
3.184,37.2305882353
2.336,35.2211764706
2.451,39.0752941176
2.858,39.2482352941
2.746,33.2441176471
2.847,58.2441176471
2.442,45.105
3.16,45.2347058824
2.369,35.7738888889
2.326,35.3005882353
2.486,34.9670588235
3.327,59.2235294118
3.417,46.9377777778
2.992,38.7982352941
2.683,42.9070588235
2.592,46.6729411765
3.22,49.5166666667
2.899,41.8705882353
2.779,45.9947058824
2.536,36.2158823529
2.308,25.0858823529
2.483,23.1641176471
2.267,28.0935294118
4.579,36.4129411765
2.244,27.1929411765
2.268,36.6535294118
3.698,41.5470588235
5.736,96.4029411765
3.112,50.6311111111
2.209,25.8694117647
2.229,21.4558823529
2.206,23.3994117647
2.249,26.2772222222
3.023,54.3144444444
2.45,21.8894117647
2.293,21.1758823529
2.273,24.3358823529
4.11,49.0623529412
4.334,68.3570588235
2.93,66.7964705882
2.872,36.8466666667
3.011,72.6722222222
6.816,50.1658823529
2.721,27.7858823529
3.365,39.1922222222
5.54,72.6711111111
3.756,35.6152941176
3.837,55.6305882353
7.72,41.7694117647
4.353,35.2458823529
2.225,31.7864705882
3.976,26.9670588235
2.264,23.5258823529
2.683,31.2088235294
2.55,31.9117647059
2.397,30.2429411765
4.206,32.3676470588
5.404,68.9216666667
4.302,43.8572222222
3.689,44.83
3.17,66.1538888889
3.634,34.6941176471
4.328,21.8188235294
3.643,42.6947058824
2.652,29.5794117647
5.868,52.7211764706
3.88,55.2011111111
3.505,61.9541176471
2.999,60.0605882353
2.847,67.4016666667
2.6,52.14
3.122,48.6041176471
5.169,50.0727777778
3.457,52.0311764706
2.942,43.9288235294
3.837,52.0788235294
2.591,27.5135294118
3.094,22.4423529412
2.987,72.5655555556
3.768,57.7294444444
2.383,35.3488235294
3.824,58.7944444444
2.707,31.3182352941
3.372,51.1611764706
2.265,42.2441176471
2.86,49.5582352941
2.909,22.2005882353
3.462,50.2038888889
2.918,30.9694117647
2.529,34.7405555556
2.816,38.1323529412
3.644,54.9935294118
2.622,34.5758823529
2.398,38.0422222222
2.367,32.6576470588
2.393,27.2776470588
2.675,54.1688235294
4.316,44.9264705882
3.102,54.7488235294
5.116,38.7752941176
2.828,25.3652941176
3.769,28.6523529412
2.36,39.1594117647
2.369,34.2222222222
2.974,31.1555555556
2.796,41.145
3.613,34.4935294118
2.227,21.8635294118
3.056,24.5017647059
2.503,26.7876470588
2.226,22.3264705882
2.401,22.9588235294
3.98,73.3866666667
4.9,29.6523529412
3.816,58.1317647059
4.353,54.9364705882
3.101,67.6229411765
3.135,45.4694117647
3.304,48.1223529412
2.868,43.49
5.254,41.7417647059
2.403,21.4405882353
2.987,42.1741176471
3.732,35.9864705882
3.811,54.8872222222
3.092,38.6447058824
3.671,53.0983333333
3.17,45.43
2.397,49.1858823529
3.183,30.2288235294
2.42,24.9947058824
2.364,33.5188888889
3.49,41.7922222222
2.708,39.4923529412
2.376,32.1411764706
3.351,54.5905882353
2.742,22.0047058824
2.214,25.6452941176
3.128,39.0229411765
2.279,21.8041176471
2.379,23.8552941176
3.066,41.0566666667
3.654,38.68
3.004,37.0741176471
2.258,23.0811764706
4.817,33.9561111111
3.555,47.5788888889
2.238,20.4941176471
2.203,21.6764705882
2.2,32.8876470588
2.754,36.9182352941
2.429,28.72
3.33,33.4855555556
2.797,39.2547058824
3.269,56.7594117647
3.355,38.4617647059
5.151,37.5147058824
2.657,47.5083333333
2.463,22.2366666667
2.902,42.8352941176
3.15,55.7383333333
3.045,34.6594117647
3.172,34.7376470588
2.325,23.7466666667
2.398,23.6070588235
3.243,34.2882352941
2.466,24.1082352941
2.274,22.0394117647
4.521,54.1152941176
2.339,21.6458823529
3.217,47.8229411765
3.571,23.5247058824
2.366,34.6482352941
3.709,25.0623529412
2.742,31.8347058824
3.074,44.0494117647
2.701,29.3217647059
2.946,37.2117647059
3.341,40.6776470588
3.102,52.3527777778
3.402,49.4511111111
2.296,39.5417647059
3.679,54.5764705882
4.487,53.0558823529
