time,cpuLoad
1.378,24.1305555556
1.626,24.6955555556
2.538,55.6555555556
1.187,22.2070588235
1.949,39.31
1.062,22.4083333333
1.124,11.4138888889
1.055,9.79277777778
1.073,13.5129411765
1.072,13.7416666667
1.098,11.9333333333
1.044,25.7764705882
1.049,12.9183333333
1.04,10.455
1.033,9.63235294118
1.039,10.6455555556
1.069,10.0005882353
1.146,24.2994117647
1.112,28.4017647059
1.046,14.4576470588
1.051,10.1616666667
1.027,9.89444444444
1.053,19.0729411765
1.044,9.55941176471
1.042,9.30705882353
1.18,10.1005882353
1.089,12.5127777778
1.047,14.0222222222
1.066,14.0076470588
1.258,18.1847058824
1.05,9.51235294118
1.042,10.0058823529
1.031,11.1064705882
1.034,10.69
1.033,12.8423529412
1.038,9.63
1.051,9.67823529412
1.137,9.31352941176
1.194,16.2994117647
1.031,10.07
1.036,9.42470588235
1.032,14.2270588235
1.232,11.4429411765
1.053,12.56
1.106,12.3505882353
1.235,28.8811111111
1.04,17.3682352941
1.081,11.6270588235
1.027,12.9188235294
1.037,15.1523529412
1.088,13.0205882353
1.044,16.7894117647
1.258,33.3555555556
1.365,40.5823529412
1.348,50.6888888889
1.168,60.8241176471
1.421,47.4983333333
1.273,46.8216666667
1.268,29.1047058824
1.219,32.4833333333
1.331,51.0322222222
1.227,36.3435294118
1.236,37.4483333333
1.147,30.4682352941
1.249,50.6405882353
1.301,38.235
1.339,63.2761111111
1.367,46.5652941176
1.337,42.9958823529
1.239,35.6194117647
1.251,47.7252941176
1.3,38.0470588235
1.251,40.4882352941
1.295,38.9647058824
1.226,50.2176470588
1.244,37.8877777778
1.34,39.4388235294
1.244,37.4388235294
1.243,46.7627777778
1.239,34.2047058824
1.247,44.2294117647
1.223,31.2176470588
1.085,50.2752941176
1.384,50.7588235294
1.363,51.1564705882
1.376,46.4023529412
1.252,52.3311764706
1.232,37.4976470588
1.356,42.2711111111
1.314,44.2011111111
1.356,44.28
1.295,53.3052941176
1.338,47.6917647059
1.279,54.3505882353
1.385,48.3838888889
1.326,42.2917647059
1.22,44.6329411765
1.282,40.5441176471
1.309,46.1811764706
