time,cpuLoad
0.204098,16.0835294118
0.198028,23.4847058824
0.213108,16.0411764706
0.179381,18.3758823529
0.209609,16.6883333333
0.158388,30.7770588235
0.216587,16.3976470588
0.187235,22.3223529412
0.205989,16.4188888889
0.1635,34.1241176471
0.203991,16.0805882353
0.172139,24.4752941176
0.165695,15.54
0.144072,31.2747058824
0.214957,15.8311764706
0.171631,39.1770588235
0.211688,16.0664705882
0.164114,21.7694117647
0.215853,15.5329411765
0.167117,22.4841176471
0.208924,15.705
0.143646,23.7852941176
0.193896,16.4176470588
0.158991,30.3770588235
0.204827,15.5864705882
0.153627,22.7447058824
0.208179,15.7877777778
0.163162,30.2117647059
0.2098,15.6555555556
0.160374,31.4729411765
0.207762,16.9623529412
0.161733,34.0817647059
0.21326,16.7958823529
0.187,22.66
0.204478,15.4129411765
0.155426,34.2123529412
0.206963,16.0576470588
0.17182,25.0970588235
0.21225,15.6117647059
0.146099,17.7758823529
0.205883,16.7776470588
0.163044,14.8088235294
0.207317,14.9435294118
0.147866,31.8917647059
0.207895,16.2483333333
0.151717,17.2764705882
0.216512,14.6961111111
0.149557,19.65
0.215585,15.7364705882
0.145862,19.9170588235
0.21702,16.0747058824
0.148189,19.3758823529
0.216435,16.3805882353
0.145793,22.2270588235
0.209695,20.02
0.147631,22.8594117647
0.209347,24.6029411765
0.152677,21.4852941176
0.21677,22.6905882353
0.149165,19.1952941176
0.217034,26.3370588235
0.153665,21.2341176471
0.220843,30.4752941176
0.18993,16.0741176471
0.151004,20.8264705882
0.211538,14.4464705882
0.15461,17.4976470588
0.212368,16.3105555556
0.14588,20.6017647059
0.204855,17.4594117647
0.154741,21.0152941176
0.220429,28.2541176471
0.166313,21.5570588235
0.216947,26.6852941176
0.20168,17.4382352941
0.153918,23.2776470588
0.196755,17.1305882353
0.144614,16.8888235294
0.218141,15.3911764706
0.151511,20.3011764706
0.216505,18.465
0.154267,18.2511764706
0.210181,26.2555555556
0.217628,15.1547058824
0.144543,18.92
0.2142,16.5305882353
0.151839,12.8717647059
0.208155,15.6182352941
0.157281,22.8282352941
0.204021,22.6576470588
0.173606,48.1611764706
0.206641,21.2635294118
0.155746,28.0611764706
0.21697,38.5482352941
0.203819,16.6572222222
0.168258,46.2935294118
0.210984,15.1605882353
0.166449,35.0605882353
0.215998,16.6476470588
