time,cpuLoad
0.19371,23.1952941176
0.194405,20.02
0.181885,20.0976470588
0.18962,19.4138888889
0.18381,19.7261111111
0.193135,18.2652941176
0.18953,19.2476470588
0.194055,19.7033333333
0.182375,23.6716666667
0.18808,18.5441176471
0.18808,17.9135294118
0.19758,19.1917647059
0.18894,28.47
0.20268,42.1483333333
0.18432,53.4594444444
0.198655,31.9723529412
0.19269,31.31
0.19847,31.2635294118
0.18952,30.3270588235
0.19322,31.68
0.192695,34.4888235294
0.19687,20.9
0.19616,30.5816666667
0.189745,31.3123529412
0.19185,31.3258823529
0.189235,31.4988888889
0.189495,30.1741176471
0.195705,30.8488888889
0.205865,30.6711764706
0.19041,33.0616666667
0.234965,46.8805882353
0.18944,37.92
0.19584,39.7027777778
0.20311,31.2958823529
0.188075,30.2564705882
0.20555,31.1472222222
0.21462,31.2722222222
0.193535,30.9352941176
0.190855,30.1888235294
0.193125,32.9866666667
0.202995,36.8641176471
0.1953,30.6294117647
0.198385,30.1035294118
0.18917,31.6888235294
0.190125,30.9747058824
0.19434,30.3235294118
0.19957,30.6427777778
0.19781,31.3494117647
0.1892,32.7638888889
0.19848,30.5758823529
0.206325,48.7572222222
0.20789,30.3694444444
0.18981,28.9705882353
0.18927,30.2535294118
0.189685,30.0723529412
0.2021,32.0570588235
0.203635,31.6241176471
0.193395,30.35
0.19239,31.3388888889
0.20136,30.5270588235
0.19409,29.9917647059
0.201375,46.9288235294
0.20044,31.8041176471
0.190805,29.0317647059
0.198615,31.3576470588
0.19973,31.3752941176
0.19453,31.2982352941
0.19586,32.3566666667
0.19156,30.86
0.18444,31.0941176471
0.19567,32.1355555556
0.20917,31.0405555556
0.201395,33.3935294118
0.195505,32.4322222222
0.19556,31.0641176471
0.196455,30.5452941176
0.193405,30.8470588235
0.192485,30.8805882353
0.191765,32.4755555556
0.19535,30.8638888889
0.200125,31.4923529412
0.20155,30.9488235294
0.19264,52.7347058824
0.19264,36.6158823529
0.194225,38.0488235294
0.193605,39.7658823529
0.18979,19.1735294118
0.19113,31.0717647059
0.215895,61.2088235294
0.199825,24.9141176471
0.18395,26.2123529412
0.188255,22.7705882353
0.199885,20.6741176471
0.19582,38.6282352941
0.195395,41.5864705882
0.19728,57.5858823529
0.19537,28.1858823529
0.19752,54.6023529412
