time,cpuLoad
0.257,46.9764705882
0.253,27.2476470588
0.293,43.4570588235
0.293,56.9505882353
0.48,55.6594444444
0.312,48.07
0.277,45.0811764706
0.295,48.8272222222
0.459,46.8276470588
0.308,36.5682352941
0.318,25.3982352941
0.252,20.8461111111
0.277,28.6094117647
0.258,27.0211764706
0.305,27.8717647059
0.249,25.7394117647
0.268,24.5472222222
0.245,20.4311764706
0.244,20.105
0.265,21.5894117647
0.245,25.5864705882
0.274,42.5138888889
0.265,28.6811111111
0.344,29.7905555556
0.257,36.0988235294
0.254,19.1452941176
0.345,31.7094117647
0.318,57.6641176471
0.318,30.5841176471
0.274,47.8994117647
0.255,24.5835294118
0.253,20.2711764706
0.266,29.4529411765
0.326,47.3176470588
0.52,59.8005882353
0.251,36.5947058824
0.27,40.7864705882
0.472,40.9164705882
0.286,65.745
0.269,33.8741176471
0.277,21.0552941176
0.3,41.3858823529
0.265,50.1758823529
0.366,72.4152941176
0.257,19.3852941176
0.293,24.9223529412
0.276,54.2941176471
0.246,32.2835294118
0.246,27.5229411765
0.349,34.4358823529
0.239,17.9576470588
0.243,16.0388235294
0.261,33.2855555556
0.246,29.1158823529
0.247,21.5370588235
0.238,21.5670588235
0.241,16.4182352941
0.24,16.7511764706
0.243,18.0352941176
0.242,29.8117647059
0.286,33.2505882353
0.246,28.2005882353
0.261,42.9841176471
0.252,24.4447058824
0.247,16.6564705882
0.246,17.5911764706
0.242,22.2747058824
0.243,21.2170588235
0.239,16.4876470588
0.257,18.6176470588
0.24,19.79
0.244,16.4394117647
0.245,16.6617647059
0.239,17.7977777778
0.258,39.22
0.252,16.2929411765
0.236,18.99
0.258,20.2252941176
0.271,39.3635294118
0.475,45.1155555556
0.245,13.7788235294
0.223,10.4788888889
0.236,8.97411764706
0.223,8.92647058824
0.244,10.1676470588
0.247,13.6788235294
0.231,9.81388888889
0.237,8.60235294118
0.236,10.2623529412
0.231,9.32764705882
0.234,9.89647058824
0.231,10.1917647059
0.24,9.02176470588
0.241,9.12588235294
0.236,9.62117647059
0.241,10.4264705882
0.233,9.31588235294
0.244,8.78
0.236,9.49352941176
0.25,10.6735294118
0.229,8.37882352941
0.238,8.67764705882
0.24,9.03823529412
0.232,9.22176470588
0.235,9.02
0.236,9.79352941176
0.228,10.2383333333
0.225,16.710625
0.24,10.4964705882
0.246,32.2764705882
0.234,10.5605882353
0.242,10.24
0.226,8.85058823529
0.238,8.74705882353
0.564,44.6683333333
0.406,47.9282352941
0.286,48.4176470588
0.255,65.9894117647
0.287,46.7841176471
0.257,25.3570588235
0.248,24.6058823529
0.246,23.1958823529
0.257,23.8370588235
0.263,28.9323529412
0.252,26.0923529412
0.238,25.2222222222
0.248,24.6511764706
0.253,25.3661111111
0.249,25.3176470588
0.245,50.5858823529
0.245,26.9305882353
0.245,25.0511764706
0.279,24.5570588235
0.254,25.3938888889
0.253,23.6105882353
0.243,24.4055555556
0.248,24.3635294118
0.244,25.975
0.246,23.7317647059
0.245,24.1064705882
0.269,25.4764705882
0.256,23.9847058824
0.245,24.5811764706
0.251,23.1782352941
0.246,25.83
0.268,23.8288235294
0.24,24.5294117647
0.249,25.1870588235
0.249,24.2758823529
0.245,24.7517647059
0.249,23.558125
0.266,23.5864705882
0.245,24.3023529412
0.256,24.0982352941
0.379,44.5277777778
0.251,26.4741176471
0.25,25.2641176471
0.264,24.4617647059
0.248,26.1794117647
0.255,25.9205882353
0.244,25.7772222222
0.245,24.6311764706
0.251,24.1388235294
0.245,27.1005555556
0.244,24.5970588235
0.252,24.0023529412
0.239,25.07
0.256,26.4735294118
0.245,25.9827777778
0.253,23.6561111111
0.253,23.7982352941
0.253,25.9829411765
0.249,25.2311764706
0.253,25.0488235294
0.274,24.9258823529
0.246,25.8977777778
0.242,25.0776470588
0.258,25.0076470588
0.252,24.7938888889
0.259,25.0152941176
0.255,23.6705882353
0.256,23.51
0.245,26.7005882353
0.244,26.4529411765
0.251,25.64
0.262,24.1282352941
0.26,26.2941176471
0.246,26.2570588235
0.246,24.7158823529
0.251,35.1994117647
0.251,25.8405882353
0.247,24.6552941176
0.255,23.6135294118
0.256,26.0205882353
0.256,24.09
0.244,25.9570588235
0.249,25.1070588235
0.262,24.8282352941
0.256,29.2582352941
