time,cpuLoad
0.295,32.12
0.239,35.8830769231
0.299,39.1534615385
0.295,39.3626923077
0.36,66.987037037
0.301,41.3972
0.236,57.5461538462
0.251,53.0044444444
0.316,45.7207407407
0.29,57.32
0.328,49.3
0.308,61.2004
0.388,48.4851851852
0.322,44.4296153846
0.27,57.4783333333
0.428,51.9546153846
0.282,59.1273076923
0.479,55.3464
0.273,44.7208
0.25,43.3292307692
0.337,47.3866666667
0.265,53.256
0.249,44.0028
0.305,64.33
0.349,55.8584
0.245,57.0656521739
0.264,64.8576923077
0.246,52.616
0.245,54.3553846154
0.26,54.5728
0.388,48.0426923077
0.343,51.3616
0.258,61.6392
0.275,58.8448148148
0.28,44.5307692308
0.332,64.4134615385
0.25,36.69
0.244,58.3288461538
0.257,45.39
0.324,63.417037037
0.258,53.4644444444
0.272,52.0434615385
0.29,57.6376923077
0.228,35.7088461538
0.257,50.272962963
0.257,40.6715384615
0.31,52.02625
0.262,54.8515384615
0.279,52.0540740741
0.282,49.2225925926
0.253,48.6014814815
0.371,55.5661538462
0.318,44.4711538462
0.244,46.0023076923
0.242,44.4873076923
0.236,42.955
0.369,50.6024
0.298,61.3673076923
0.5,59.6426923077
0.265,41.0865384615
0.288,46.0488461538
0.476,49.2144
0.292,45.19
0.273,42.4762962963
0.269,52.79
0.302,46.2238461538
0.308,53.2164
0.255,49.6374074074
0.346,51.1673076923
0.273,51.508
0.293,40.152
0.266,49.8592592593
0.243,50.2976923077
0.325,48.1076923077
0.242,51.4475
0.267,59.36125
0.324,53.9034615385
0.236,43.4396
0.264,64.3184
0.24,46.8611538462
0.281,56.4574074074
0.283,58.672962963
0.274,45.2311538462
0.283,42.682
0.261,50.8708333333
0.249,45.97
0.233,32.1942307692
0.243,50.9076
0.315,48.666
0.269,48.715
0.29,42.9623076923
0.238,43.7792307692
0.233,48.7820833333
0.239,45.4253846154
0.404,49.9280769231
0.331,39.0176
0.269,53.7673076923
0.285,52.7203846154
0.259,38.72625
