time,cpuLoad
0.308,32.5165384615
0.262,53.2892
0.255,46.29
0.262,56.6552
0.334,56.2438461538
0.258,36.9307692308
0.26,40.4776
0.251,38.5322222222
0.246,44.8242307692
0.294,42.7776923077
0.259,41.7719230769
0.26,44.785
0.262,42.9826923077
0.261,43.0023076923
0.263,42.5488461538
0.266,44.1769230769
0.267,41.1265384615
0.24,41.3626923077
0.268,42.6653846154
0.277,41.3276923077
0.26,40.705
0.32,47.2588888889
0.258,43.0611538462
0.285,40.0269230769
0.251,35.6084615385
0.252,35.8056
0.263,35.2680769231
0.254,34.0446153846
0.254,41.0052
0.262,33.5796153846
0.295,47.7584
0.274,57.4996153846
0.327,57.0873076923
0.274,64.4744
0.31,64.2707692308
0.278,32.3396
0.256,35.0892307692
0.259,38.9207692308
0.269,39.2111538462
0.264,35.2776923077
0.252,34.5119230769
0.307,38.3534615385
0.293,35.6177777778
0.273,40.625
0.309,48.0165384615
0.264,34.8442307692
0.287,45.4769230769
0.263,35.9688461538
0.262,34.8396153846
0.311,44.3928
0.266,37.0126923077
0.304,38.4233333333
0.313,39.7911538462
0.265,37.525
0.259,35.1880769231
0.256,46.5107692308
0.281,31.332
0.253,35.4272
0.273,35.5580769231
0.328,53.5646153846
0.248,41.2688461538
0.274,44.4134615385
0.248,39.9923076923
0.307,43.8903703704
0.286,46.9284615385
0.265,39.7392
0.255,35.8830769231
0.263,34.4
0.258,35.3557692308
0.267,37.3553846154
0.243,37.4269230769
0.268,41.7823076923
0.262,45.912
0.413,70.7684615385
0.274,38.3703846154
0.243,45.1773076923
0.292,35.6126923077
0.264,35.2653846154
0.26,34.8942307692
0.288,33.3253846154
0.266,53.7380769231
0.272,40.8642307692
0.262,43.4057692308
0.283,38.0292307692
0.292,44.4288461538
0.292,42.6207692308
0.302,96.1762068966
0.3,59.9553571429
0.259,60.6611111111
0.273,51.5976923077
0.261,52.4357692308
0.293,50.9811538462
0.283,55.6888461538
0.266,39.4734615385
0.279,48.7748148148
0.262,41.0111538462
0.291,45.3657692308
0.265,40.1592307692
