time,cpuLoad
3.28754,55.5222222222
2.06918,52.3047058824
2.365075,43.87
2.553025,42.0683333333
1.750315,53.3572222222
1.887845,46.6494444444
1.67843,58.9482352941
2.37964,30.5682352941
1.77541,25.1864705882
2.40084,40.9952941176
3.791675,81.9788888889
2.751335,33.8055555556
2.035985,27.2733333333
1.94842,22.0294117647
2.652905,75.1
1.691925,24.9552941176
1.631085,37.3647058824
1.68657,21.3794444444
1.73619,28.0455555556
1.72011,38.8627777778
1.7588,33.4841176471
1.68013,25.9377777778
1.636765,33.0372222222
1.6235,26.2152941176
1.721645,55.4566666667
3.06788,36.7477777778
1.656395,21.2261111111
1.734635,27.5423529412
2.49109,59.77
1.896185,50.3311764706
1.6941,23.6511764706
6.196115,71.5817647059
2.41713,37.2711764706
1.75724,56.0538888889
1.668575,23.0416666667
1.66033,23.1364705882
1.667385,22.4361111111
1.63226,23.2964705882
1.72737,24.1829411765
1.68915,21.9788235294
1.676135,21.6952941176
1.63652,21.6166666667
1.7057,23.1058823529
1.739785,24.1305882353
1.71444,27.3264705882
1.8847,36.1955555556
1.628845,25.5794117647
1.704235,22.6652941176
1.64106,21.6717647059
1.669005,22.6261111111
1.71094,23.7888235294
1.89213,31.25
1.723465,25.9523529412
1.715405,26.2827777778
1.76386,23.3241176471
1.662165,23.96
1.80433,40.9005882353
2.218915,66.7538888889
2.548565,72.7472222222
2.873445,49.6277777778
1.922355,38.6529411765
3.016445,31.5111111111
1.66027,23.2247058824
1.713745,24.7944444444
1.634385,24.6923529412
3.16825,45.8633333333
1.72492,22.7083333333
1.636775,20.6994117647
1.65255,20.9794117647
2.064835,89.5894444444
7.9075,95.208
1.660975,20.3047058824
5.25287,67.6555
2.31834,22.3729411765
1.68328,19.6541176471
1.663385,18.8588235294
1.68323,19.0372222222
1.66896,18.7035294118
1.6992,27.2623529412
1.667095,21.5947058824
1.601735,19.0564705882
1.628545,18.6035294118
1.620095,18.0717647059
1.636205,20.4776470588
1.622475,17.5817647059
1.669195,19.3294117647
1.66898,29.0564705882
1.956855,44.5938888889
1.62068,17.7735294118
1.61773,17.7794117647
1.62246,17.6941176471
1.66102,15.4623529412
1.62517,16.4358823529
1.608015,16.8258823529
1.6206,16.4835294118
1.619155,15.4405882353
1.67792,16.6047058824
1.639625,19.4223529412
1.614685,18.04
