time,cpuLoad
2.6453,58.7747058824
2.6453,68.6716666667
2.357695,72.1483333333
2.145925,56.4276470588
2.307725,53.7672222222
2.17213,51.7094117647
2.197335,52.3258823529
1.736215,17.48
1.768085,39.45
1.7216,17.1588235294
1.70228,16.8938888889
1.9625,17.5941176471
1.76901,19.47
1.74729,18.225
1.710145,16.9523529412
2.23105,48.2794117647
2.10299,49.31
2.14037,49.3105882353
2.47868,52.9883333333
2.052425,45.6329411765
2.644635,47.0772222222
2.124335,49.5947058824
2.03201,61.9458823529
2.162965,52.8472222222
2.06244,50.8294444444
2.099765,53.88
2.065055,52.0972222222
2.158115,46.5629411765
1.777555,23.9823529412
2.104975,50.0317647059
2.15098,52.5644444444
2.150025,50.8561111111
2.17416,53.7961111111
1.88818,71.2776470588
1.686745,55.6676470588
1.9779,35.2922222222
1.83031,28.7727777778
1.87836,28.2611111111
1.824055,28.5888235294
1.76006,20.5323529412
1.76846,16.9105882353
1.834675,28.7405555556
1.816115,42.7282352941
1.78993,27.16
1.818415,28.1488235294
2.083435,28.5841176471
1.818665,28.9388235294
1.84919,26.8188235294
1.842425,28.3094444444
1.82502,27.5317647059
1.828025,28.1088888889
1.80054,27.2523529412
1.830795,29.0261111111
1.82296,27.5311764706
1.862135,26.8358823529
1.802375,29.0177777778
1.80625,27.9664705882
1.7992,45.6917647059
1.86723,30.8094117647
1.80876,29.485
1.78951,27.93
1.79971,29.2605555556
1.8156,27.4141176471
1.912565,53.4964705882
1.820745,32.6535294118
1.787485,28.8352941176
1.80094,27.4035294118
1.855625,27.3105882353
1.834165,28.0794117647
1.8278,27.6523529412
1.82461,28.2317647059
1.83193,27.2729411765
1.808365,26.6411764706
1.829365,26.9270588235
1.855725,28.7364705882
1.79412,27.4429411765
1.84488,25.9105882353
1.78158,28.4952941176
1.83599,28.3782352941
1.788685,29.5458823529
1.835595,28.1564705882
1.83052,26.3970588235
1.79427,28.1794117647
1.839215,28.7794117647
1.79598,28.6588235294
1.82621,27.68
1.805775,29.3788235294
1.78991,28.3116666667
1.81159,27.2435294118
1.81407,27.1176470588
1.801825,27.9523529412
1.791415,30.6894117647
1.77298,28.2729411765
1.821555,27.4735294118
1.85117,26.6264705882
1.864825,27.4658823529
1.831465,30.44
1.77921,28.2
