time,cpuLoad
0.931,19.1911111111
0.914,44.5223529412
1.344,66.1677777778
2.244,70.4089473684
1.955,50.4994736842
1.389,71.1289473684
0.912,20.2070588235
1.203,43.6333333333
1.022,31.6016666667
0.958,31.1411764706
1.033,32.8605882353
0.962,25.0927777778
0.961,22.1505555556
0.982,23.8144444444
0.969,30.1205555556
1.332,52.3866666667
1.159,35.1083333333
1.229,61.3716666667
0.937,25.9055555556
0.914,16.8082352941
0.958,13.8223529412
0.939,13.3905882353
0.945,15.9638888889
0.942,16.4438888889
0.929,15.6727777778
0.951,14.2782352941
0.92,23.66
0.934,14.2517647059
1.012,21.765
1.132,30.2438888889
0.946,23.4288888889
0.932,13.3277777778
0.907,11.8717647059
0.928,13.1611764706
0.886,13.0422222222
0.887,10.1017647059
0.942,20.7805882353
0.899,11.3761111111
0.884,11.3538888889
0.895,13.0258823529
0.946,10.8311764706
0.885,10.46
0.89,8.35823529412
0.898,9.63529411765
0.9,13.1023529412
879.319,60.56
0.989,34.6044444444
1.164,29.2894117647
0.981,26.0122222222
1.709,42.3657142857
0.991,22.8605555556
1.065,29.5258823529
0.938,16.3055555556
0.948,16.2788235294
0.936,13.0241176471
0.933,15.265
0.932,15.6938888889
0.932,17.3552941176
0.949,31.4838888889
2.626,69.1455555556
0.942,13.3764705882
0.925,25.2244444444
1.096,29.1066666667
0.931,25.4158823529
1.195,28.0511764706
0.927,16.1823529412
1.011,21.4805882353
0.927,14.0670588235
0.928,18.7864705882
0.92,16.1752941176
0.931,16.7764705882
0.933,20.745
0.954,18.3444444444
0.922,11.57
0.92,13.4370588235
0.913,13.4323529412
0.961,20.1217647059
0.936,39.0723529412
1.139,36.6323529412
1.142,24.0982352941
1.12,23.2205555556
1.136,31.8617647059
1.138,27.0135294118
1.137,26.0244444444
1.164,41.1694444444
1.128,29.8529411765
1.135,31.8055555556
1.137,18.145
1.121,23.8547058824
1.135,20.4972222222
1.144,31.3176470588
1.127,26.6711111111
1.139,38.5305882353
1.127,20.6655555556
1.125,18.9311764706
0.932,11.3311764706
0.928,18.2664705882
0.917,11.9676470588
0.945,15.8170588235
