time,cpuLoad
0.871,62.2883333333
0.802,59.655
0.85,48.81
0.789,45.7352941176
0.813,66.9288888889
0.856,53.0633333333
0.79,64.0038888889
0.782,51.2277777778
0.876,66.1288888889
0.807,55.9272222222
0.834,56.4855555556
0.8,58.4855555556
0.789,37.4258823529
0.989,58.3970588235
0.853,40.7458823529
0.853,57.4358823529
0.779,50.245
0.802,60.6764705882
0.881,32.0582352941
0.778,30.3911764706
0.792,36.0447058824
0.798,43.0583333333
0.86,29.3870588235
0.79,57.8111111111
0.779,31.8605882353
0.784,29.5335294118
0.818,61.4005555556
0.867,29.1461111111
0.776,57.6064705882
0.783,35.5194117647
0.788,28.5538888889
0.811,62.62
0.876,63.1064705882
0.796,28.4211764706
0.79,61.0717647059
0.806,56.8905882353
0.871,30.5570588235
0.799,39.1188235294
0.792,46.1076470588
0.785,31.2388235294
0.855,62.5629411765
1.23,73.5538888889
0.959,71.1011111111
0.96,84.4152631579
0.923,59.8744444444
0.898,65.4661111111
0.801,77.7522222222
0.944,45.4888888889
0.771,63.2516666667
0.88,57.0633333333
0.787,18.5055555556
0.784,27.4135294118
0.778,20.6341176471
0.864,15.7747058824
0.866,15.0429411765
0.775,36.5558823529
0.859,20.4427777778
0.859,44.4566666667
0.779,15.2194117647
0.802,32.3558823529
0.716,31.4235294118
0.718,14.5182352941
1.133,45.7105882353
0.813,14.0970588235
0.979,60.6173684211
0.751,18.6988235294
0.879,13.9447058824
0.756,13.61
0.83,10.7288235294
0.857,34.4727777778
0.88,20.2982352941
0.827,13.4041176471
0.787,7.58
0.703,6.72352941176
0.769,10.3258823529
0.771,7.64529411765
0.707,7.63888888889
0.7,6.89823529412
0.787,13.1141176471
0.777,6.56352941176
0.777,8.59823529412
0.706,6.41470588235
0.781,14.5458823529
0.711,7.27117647059
0.722,7.20705882353
0.734,27.4629411765
0.888,45.9477777778
0.76,33.9958823529
0.85,31.2941176471
0.765,16.7747058824
0.792,14.545
0.725,11.9029411765
0.714,10.2417647059
0.702,9.34611111111
0.774,10.9058823529
0.773,11.3855555556
0.788,9.03352941176
0.925,40.6329411765
0.761,17.9711764706
