time,cpuLoad
2.31802,14.4188235294
2.301625,19.7752941176
2.31345,15.9082352941
2.31021,17.6276470588
2.35751,16.9747058824
2.282665,17.7382352941
2.332755,19.3816666667
2.306845,19.6552941176
2.31267,16.2882352941
2.333625,19.4083333333
2.32242,19.0547058824
2.3412,24.4776470588
2.294255,18.8041176471
2.438825,16.2635294118
2.327375,15.8576470588
2.383555,15.5022222222
2.328955,20.9517647059
2.32126,17.3888235294
2.344095,15.5864705882
2.34847,17.8905882353
2.33253,17.5870588235
2.375115,19.0488235294
2.353585,19.3447058824
2.33521,18.8676470588
2.397485,17.7923529412
2.34058,20.7241176471
2.336255,18.3552941176
2.303815,19.745
2.33515,18.7447058824
2.32676,19.8564705882
2.374875,17.7529411765
2.321055,20.06
2.32052,19.4533333333
2.38908,16.5417647059
2.279365,19.8905882353
2.39469,19.1229411765
2.308285,17.1523529412
2.407115,19.5935294118
2.2717,18.2170588235
2.37444,17.7805882353
2.27827,18.6111764706
2.36303,18.5576470588
2.31885,18.7017647059
2.30354,17.7761111111
2.316655,23.2094117647
2.38417,17.1411764706
2.409795,18.2082352941
2.29894,19.5235294118
2.36675,17.2464705882
2.29646,17.8094117647
2.36878,17.3417647059
2.38429,15.6094117647
2.320045,16.6782352941
2.277775,21.3658823529
2.3601,17.0970588235
2.326985,22.1241176471
2.31745,20.1558823529
2.380025,18.72
2.300765,16.5835294118
2.351455,19.4155555556
2.361285,18.3747058824
2.361435,19.0641176471
2.31113,18.6041176471
2.327525,21.4223529412
2.30442,20.0141176471
2.401525,17.1882352941
2.33734,23.2666666667
2.36234,17.9964705882
2.37965,19.5211764706
2.36416,18.3888235294
2.354675,19.8323529412
2.310615,18.4470588235
2.34568,21.5383333333
2.28422,22.3788235294
2.335035,19.9511764706
2.303465,19.0952941176
2.32391,18.1141176471
2.329615,20.7861111111
2.350185,16.7670588235
2.367805,19.2129411765
2.31214,19.3117647059
2.395585,20.3129411765
2.35207,15.1082352941
2.32422,18.3752941176
2.290505,18.8241176471
2.415315,16.4735294118
2.313475,20.4523529412
2.336885,20.135
2.291745,20.1870588235
2.38036,20.3517647059
2.335645,19.9588235294
2.28598,18.5216666667
2.363395,18.7635294118
2.28817,20.7505882353
2.379905,17.3852941176
2.279435,20.8423529412
2.35329,18.6605882353
2.34646,16.2147058824
2.343255,19.2435294118
