time,cpuLoad
1.470285,14.5622222222
1.48841,42.2658823529
1.507445,17.0705882353
1.46519,17.79
1.490215,26.1523529412
1.489495,18.9188235294
1.509565,18.3158823529
1.677155,35.36
1.48477,20.6770588235
1.51039,20.5770588235
1.525185,18.4852941176
1.493995,19.0038888889
1.48137,20.2682352941
1.51534,20.5729411765
1.49123,19.5429411765
1.486375,20.1135294118
1.899625,56.2461111111
1.56673,30.9911764706
1.568415,34.1752941176
1.5635,28.3452941176
1.578745,27.3594444444
1.53627,29.2194117647
1.565865,30.4288235294
1.55545,28.6294117647
1.64524,27.8929411765
1.61264,37.3958823529
1.579585,29.6252941176
1.587675,29.4058823529
1.558795,29.0429411765
1.62473,27.1335294118
1.566065,28.6123529412
1.532445,30.5952941176
1.60065,28.4370588235
1.562775,29.2594117647
1.568415,28.9161111111
1.586475,30.2294444444
1.56743,30.0877777778
1.54683,30.9016666667
1.596045,29.8838888889
1.587815,31.8064705882
1.54197,31.3058823529
1.63803,29.4827777778
1.52581,17.9317647059
1.515185,17.2070588235
1.508415,17.7823529412
1.589175,27.6411764706
1.59188,28.985
1.62918,29.6611111111
1.62347,28.6994444444
1.62245,32.6441176471
1.601335,29.3470588235
1.5833,28.5617647059
1.6078,29.3111764706
1.601935,28.0447058824
1.60192,33.5516666667
1.606795,29.1238888889
1.601325,29.8616666667
1.584785,29.3852941176
1.562725,28.3582352941
1.594155,28.2882352941
1.55826,28.9823529412
1.59768,29.0317647059
1.663515,28.3
1.578335,28.5427777778
1.53035,24.0423529412
1.50292,18.2058823529
1.50906,15.6017647059
1.50608,18.6511764706
1.47067,16.2547058824
1.492725,16.1927777778
1.539965,16.2688888889
1.51552,16.8505555556
1.51842,17.16
1.48593,17.1829411765
1.509845,17.61
1.49213,17.0194117647
1.54001,15.9741176471
1.509805,16.3070588235
1.510205,25.1964705882
1.482815,16.4194117647
1.49141,15.8411764706
1.450945,15.7976470588
1.463085,15.1288235294
1.5232,15.4341176471
2.12957,92.0366666667
2.12957,81.1622222222
1.7614,44.1188235294
1.67361,34.7188235294
1.543075,17.3129411765
1.473175,17.7641176471
1.469935,17.72
1.534235,25.1435294118
1.46452,18.0933333333
1.50433,17.8605882353
1.585365,58.7411764706
1.64657,25.6029411765
1.58237,28.2822222222
1.506905,22.2511764706
