time,cpuLoad
2.8,85.7245
2.8,58.5317647059
0.868,24.2311764706
0.948,53.78
1.829,60.0323529412
1.044,41.5582352941
1.052,43.5129411765
1.179,43.5717647059
1.067,43.1505555556
1.046,42.0170588235
1.132,42.9852941176
1.115,45.5576470588
1.225,20.7311764706
0.843,10.0864705882
0.844,15.5758823529
0.922,9.82470588235
0.882,30.3711764706
0.849,10.4417647059
0.838,11.8705882353
0.867,14.2488235294
0.855,8.09647058824
0.871,11.2447058824
0.86,8.39882352941
0.884,14.2670588235
0.847,9.19470588235
0.972,24.3670588235
0.903,13.9764705882
0.938,29.6052941176
0.919,35.9311764706
1.138,50.2082352941
0.869,18.8688235294
0.884,26.7794117647
1.024,28.7611111111
0.846,12.0964705882
0.868,15.7841176471
0.868,17.4129411765
0.898,10.0811764706
0.868,15.0488235294
0.889,27.8555555556
0.86,26.7711764706
0.831,7.40176470588
0.831,8.18882352941
0.918,21.2441176471
0.86,21.0176470588
0.887,13.28
0.881,11.3876470588
0.84,11.9517647059
0.889,47.4941176471
1.584,38.3227777778
0.967,25.7423529412
0.932,26.2966666667
0.932,26.7229411765
0.983,39.8105882353
0.922,45.8664705882
0.881,27.2917647059
0.863,10.2352941176
0.862,10.0323529412
0.88,16.9129411765
1.141,36.3341176471
0.882,15.4111764706
0.89,14.2182352941
0.866,13.4817647059
0.934,26.2423529412
0.939,23.96
0.929,19.8323529412
0.884,23.8958823529
0.906,18.2488235294
0.886,18.5670588235
0.901,21.3347058824
0.921,20.1011764706
0.89,14.8229411765
1.045,17.23
0.878,15.8305882353
0.888,17.4347058824
0.876,17.5947058824
0.926,19.8505882353
0.901,14.3717647059
0.887,17.7082352941
0.886,15.6405882353
0.888,17.9311764706
0.902,21.6582352941
0.906,14.5264705882
0.89,14.5323529412
0.878,12.48
0.936,20.4577777778
0.933,22.8717647059
0.891,11.7435294118
0.876,11.4852941176
0.887,12.84
0.913,18.5511764706
0.897,18.6658823529
0.893,20.5264705882
0.918,21.7376470588
0.889,19.9105555556
0.903,17.2217647059
0.885,18.3241176471
0.887,17.3882352941
0.914,22.9876470588
0.922,17.9535294118
0.91,21.3135294118
0.925,21.0905882353
0.91,19.5317647059
0.878,18.4929411765
0.932,19.8317647059
0.916,21.7017647059
0.896,20.3935294118
1.116,17.6577777778
0.884,12.7955555556
0.88,12.8823529412
0.88,15.9447058824
0.917,16.9176470588
0.912,15.5182352941
0.883,21.3405882353
0.918,14.5741176471
0.913,18.1811111111
0.908,19.7064705882
0.884,18.7170588235
0.908,15.1705882353
0.908,17.6447058824
0.878,18.1341176471
0.881,15.87
0.884,17.5582352941
0.974,16.2905882353
0.888,13.48
0.896,20.2876470588
0.92,21.4594117647
0.926,19.8235294118
0.865,13.9864705882
0.887,18.3035294118
0.911,16.9461111111
0.884,36.3305882353
0.917,17.7447058824
0.895,24.8805882353
0.901,23.2088235294
0.918,14.1461111111
0.896,15.8005882353
0.897,17.8076470588
0.883,17.5964705882
0.905,26.6170588235
0.902,19.2558823529
0.893,20.5958823529
0.883,17.6794117647
0.897,17.7135294118
0.878,17.6129411765
0.904,19.9847058824
0.962,22.3311111111
0.893,19.4735294118
0.882,14.7252941176
0.875,12.6347058824
0.931,20.3641176471
0.907,22.4682352941
0.895,21.2329411765
0.901,11.9676470588
0.883,15.4988235294
0.861,20.89
1.122,17.7135294118
0.887,16.0976470588
0.951,15.1811764706
0.892,13.9835294118
0.903,13.7823529412
0.905,14.13
0.897,13.2017647059
0.899,13.3788235294
0.933,18.9558823529
0.874,10.2252941176
0.881,10.8117647059
0.864,10.9794117647
0.888,9.31058823529
0.885,9.90764705882
0.993,29.6470588235
0.86,11.5605882353
0.875,11.6682352941
0.85,10.3917647059
0.864,11.43
0.868,11.7782352941
0.881,10.4264705882
0.876,11.3023529412
0.863,10.8270588235
0.91,12.1511764706
0.882,10.3164705882
0.868,11.1577777778
0.858,11.1029411765
0.881,11.2335294118
0.885,11.1323529412
0.859,11.1888235294
0.884,13.1441176471
0.885,11.0688235294
0.88,10.7723529412
0.882,9.86875
0.862,10.6152941176
1.106,11.5494117647
0.874,11.0711764706
0.887,9.87
0.876,12.7288235294
0.877,13.0870588235
0.883,11.3805882353
0.893,9.35235294118
0.879,10.864375
