time,cpuLoad
1.504,14.6311764706
1.521,10.3994117647
1.53,11.4670588235
1.541,9.69117647059
1.529,10.8964705882
1.508,11.4535294118
1.513,10.8017647059
1.534,10.4205882353
1.515,11.4035294118
1.53,10.1447058824
1.534,10.9529411765
1.527,11.04
1.572,12.8688235294
1.547,10.0447058824
1.536,12.2570588235
1.513,11.2047058824
1.553,14.5523529412
1.538,11.1376470588
1.533,10.5847058824
1.538,13.2994117647
1.57,10.7329411765
1.522,12.0266666667
1.539,11.4694117647
1.547,9.46941176471
1.519,10.9982352941
1.503,10.8882352941
1.55,9.83705882353
1.522,10.4011764706
1.527,11.4276470588
1.528,12.8005882353
1.534,10.5582352941
1.538,11.0817647059
1.52,11.5188235294
1.54,10.1970588235
1.519,11.5344444444
1.52,9.85588235294
1.531,10.8129411765
1.535,11.0058823529
1.55,10.6911764706
1.51,11.2694117647
1.553,11.3264705882
1.52,9.70823529412
1.544,10.57
1.504,10.8188235294
1.514,10.5635294118
1.529,13.19
1.524,10.9964705882
1.535,10.3411764706
1.52,11.4011111111
1.546,10.7317647059
1.517,11.5441176471
1.542,10.9864705882
1.527,11.2194117647
1.562,10.6882352941
1.513,9.74470588235
1.511,9.83352941176
1.537,9.74
1.517,16.7
1.53,11.4352941176
1.509,10.8264705882
1.547,11.7617647059
1.543,10.9688235294
1.524,10.7647058824
1.531,14.5829411765
1.527,12.3441176471
1.533,11.4841176471
1.534,10.9270588235
1.561,14.9676470588
1.536,11.1035294118
1.547,11.7194117647
1.529,11.0447058824
1.549,10.8188235294
1.535,15.8952941176
1.524,10.3894117647
1.529,11.1722222222
1.523,11.8382352941
2.08,52.2523529412
2.08,16.7605882353
1.597,11.5052941176
1.509,7.53411764706
1.507,6.98294117647
1.489,7.76722222222
1.497,9.31588235294
1.504,12.5541176471
1.495,8.69882352941
1.547,7.54
1.475,7.74294117647
1.485,13.1522222222
1.469,9.38235294118
1.474,8.61235294118
1.508,8.21833333333
1.493,8.16941176471
1.513,12.0066666667
1.489,7.27
1.472,9.13941176471
1.532,7.49588235294
1.48,10.78
1.477,8.41611111111
