time,cpuLoad
3.799225,18.7235294118
3.905421,27.9147058824
4.21273,18.7264705882
3.833961,28.6788235294
3.835332,19.0658823529
3.911736,31.3529411765
4.093743,18.03
3.785015,24.4782352941
4.199106,68.1376470588
3.901714,29.8211111111
3.82657,20.6394117647
3.799896,27.9311764706
3.872001,17.2117647059
4.904207,72.9582352941
4.562188,29.6023529412
4.451578,26.4341176471
4.068664,36.62
3.946562,20.4317647059
4.10009,48.82
4.25187,28.7083333333
4.1847,55.1182352941
4.173164,45.4805882353
3.918348,28.4452941176
3.954817,29.9464705882
3.908702,22.5211764706
4.227028,41.7344444444
4.227885,56.6022222222
4.331667,39.1664705882
4.089488,30.7782352941
3.789948,27.4517647059
3.792021,35.4047058824
3.905197,31.4264705882
4.045447,29.6611764706
4.555964,36.4638888889
4.04541,28.6158823529
3.770512,38.0023529412
3.935472,35.0083333333
4.136183,57.0772222222
4.35887,53.1741176471
3.939805,46.0844444444
3.843802,34.3361111111
4.423021,72.7927777778
5.670084,64.8494117647
3.879733,37.835
3.741198,25.9782352941
3.755185,34.9488235294
3.813927,13.9635294118
3.83379,14.48
3.76248,13.6841176471
3.819488,14.6076470588
3.782976,17.78
3.787795,20.9488235294
3.771327,32.5917647059
3.734443,25.7311111111
3.767628,29.2752941176
3.797159,22.0066666667
3.72164,23.0617647059
3.729116,15.8964705882
3.759751,20.1464705882
3.737459,13.3670588235
3.854186,18.7688235294
3.794258,19.7611764706
3.951447,35.3217647059
3.791155,24.3352941176
3.823143,16.5747058824
3.924062,54.9544444444
4.024453,20.1711764706
4.479475,17.9747058824
4.146654,24.44
3.855481,28.1877777778
6.250813,58.0844444444
3.962912,37.3411111111
3.992155,67.2252941176
4.048852,31.2947058824
3.747571,13.2264705882
3.742084,10.2694117647
3.745978,13.1035294118
3.776731,12.3277777778
3.807103,13.5476470588
3.783283,14.0682352941
3.769057,10.7223529412
3.767939,39.4129411765
4.72718,24.3158823529
3.825895,24.1505882353
3.82564,20.7405882353
3.828362,37.5911111111
3.849423,18.0247058824
3.740987,26.8817647059
3.761832,44.9964705882
3.774459,17.3711764706
4.130494,40.5158823529
4.981457,44.0111764706
4.247417,26.1976470588
3.77566,26.3905882353
3.783907,23.4305882353
3.786602,32.6270588235
3.925682,24.2370588235
3.799323,25.1266666667
3.790056,43.3729411765
