time,cpuLoad
7.788,11.0641176471
7.658,10.4088235294
7.65,13.0082352941
7.64,10.8788235294
7.647,10.8852941176
7.678,12.16
7.702,12.4905882353
7.693,11.3111764706
7.655,10.5288235294
7.626,10.8370588235
7.715,12.1617647059
7.672,10.519375
7.724,10.6558823529
7.653,10.8494117647
7.648,11.4741176471
7.705,11.45875
7.649,11.0988235294
7.683,15.7252941176
7.773,9.736875
7.679,15.4852941176
7.7,19.0011764706
7.818,11.5047058824
7.684,23.59
7.992,11.5517647059
7.662,12.0558823529
7.667,11.778125
7.671,16.9064705882
7.714,11.5270588235
7.676,12.2988235294
7.682,10.4347058824
7.664,13.3652941176
7.657,10.8552941176
7.643,11.7511764706
7.643,18.4429411765
7.699,9.74
7.622,11.4270588235
7.716,14.5470588235
7.724,10.633125
7.651,12.8929411765
7.666,12.5388235294
7.694,10.4776470588
7.76,11.2964705882
7.64,11.6888235294
7.65,11.8658823529
7.646,11.69
7.699,10.52875
7.692,12.0270588235
7.639,11.6011764706
7.638,10.88
7.655,11.7494117647
7.668,14.5570588235
7.758,11.13
7.771,14.1147058824
8.04,29.4523529412
8.816,27.0083333333
8.52,28.9788235294
8.345,40.8427777778
7.864,18.9638888889
10.496,40.1844444444
10.215,31.4572222222
9.469,14.3223529412
7.624,12.8747058824
7.538,10.4788888889
7.522,8.77235294118
7.714,20.2652941176
9.307,22.4229411765
16.972,71.3472222222
14.396,40.3005555556
8.561,30.0044444444
8.607,29.2517647059
8.546,31.1588888889
8.985,37.4823529412
8.831,37.4394444444
8.537,29.6233333333
8.465,29.5983333333
8.356,29.1455555556
8.522,29.1641176471
12.071,58.6676470588
12.716,35.1683333333
9.223,30.5794117647
8.732,27.91
8.517,28.1458823529
8.303,20.4711764706
8.204,7.55411764706
7.736,21.6076470588
7.553,9.08
7.628,12.7111764706
9.134,35.3705555556
8.904,12.8952941176
7.543,7.70823529412
7.569,10.0476470588
7.553,9.80823529412
7.602,10.5377777778
7.551,9.25882352941
7.597,11.3772222222
9.152,12.44
10.893,57.165
11.559,39.9617647059
9.461,33.7038888889
