time,cpuLoad
6.637,10.6161111111
6.64,10.8023529412
6.855,32.5511764706
7.106,18.7311111111
6.739,46.1282352941
7.174,16.2582352941
7.13,34.3682352941
8.276,12.3229411765
6.663,8.86111111111
7.003,8.24
6.803,9.43705882353
6.72,8.98941176471
6.7,8.71
6.55,12.3461111111
6.506,8.57588235294
7.966,20.6723529412
6.929,49.6683333333
5.777,23.5988888889
8.072,18.59
6.814,19.0711764706
7.022,17.5829411765
6.915,12.8429411765
6.888,13.8016666667
7.282,36.5723529412
7.778,13.3658823529
6.913,61.3205555556
9.038,53.1452941176
8.251,50.8429411765
8.411,48.9894444444
8.143,48.2729411765
8.296,48.5188888889
8.207,47.6905882353
8.059,48.225
7.916,48.7776470588
8.04,48.6405882353
8.317,47.7111764706
8.317,49.9541176471
8.286,54.5411764706
8.232,57.2744444444
8.439,47.5952941176
8.513,48.1464705882
8.227,47.5644444444
7.983,50.0355555556
8.249,48.7094444444
8.15,47.9447058824
8.405,44.6152941176
8.075,49.0677777778
8.313,48.4472222222
7.9,49.6405555556
8.432,70.7817647059
8.12,48.3623529412
8.087,50.4561111111
11.395,64.9905555556
8.536,48.6294444444
8.12,50.9888888889
8.372,48.1972222222
7.943,47.19
8.156,47.7876470588
8.139,47.6952941176
7.95,49.1088235294
8.157,48.47
8.243,44.5076470588
8.027,43.7441176471
7.776,47.6755555556
8.226,51.1141176471
8.026,45.4529411765
7.915,47.8141176471
8.122,44.8835294118
7.993,47.6711764706
7.998,46.6570588235
8.512,47.1341176471
8.275,49.3383333333
7.984,46.2405555556
8.721,83.7827777778
12.651,84.425
9.767,72.8466666667
11.281,79.7988888889
10.389,84.733
8.221,62.5066666667
10.039,74.4384210526
8.44,60.0576470588
10.525,53.5123529412
10.923,82.2661111111
8.44,50.7366666667
8.462,50.9905882353
8.432,64.2411111111
9.819,63.9116666667
8.465,53.8705882353
11.137,60.3627777778
7.681,36.1711764706
8.925,46.4229411765
8.124,47.3358823529
7.92,44.8505882353
8.445,47.8364705882
8.062,45.6941176471
8.33,44.7835294118
7.947,45.7758823529
7.374,12.6358823529
6.825,11.9688235294
