time,cpuLoad
9.892,85.6864705882
7.409,24.3435294118
6.726,29.2082352941
6.933,26.3858823529
6.679,25.2870588235
6.581,24.5029411765
6.616,25.6670588235
6.661,25.7188235294
6.724,26.9929411765
6.679,23.2952941176
6.657,25.3641176471
6.625,25.6058823529
6.881,25.4494117647
6.642,25.7647058824
6.702,25.8147058824
6.617,26.4111764706
6.735,25.2338888889
6.712,24.1858823529
6.807,26.5647058824
6.628,24.4570588235
6.642,25.6758823529
7.212,41.2458823529
6.599,24.330625
6.621,24.6205882353
6.69,29.1329411765
6.576,24.04875
6.673,24.9741176471
6.663,26.02
6.661,24.6005882353
6.69,24.7335294118
6.685,24.2217647059
6.683,25.2352941176
6.625,24.8370588235
6.695,24.5264705882
6.634,25.7947058824
6.649,25.8205882353
6.707,23.2129411765
6.688,27.9341176471
7.376,48.8911111111
7.506,32.6105882353
7.506,65.3047058824
6.585,9.50647058824
6.396,6.51176470588
6.194,7.27294117647
6.22,6.96117647059
6.23,6.80823529412
6.23,6.10176470588
6.611,7.78777777778
6.113,6.69647058824
6.254,5.52411764706
6.244,6.43
6.364,6.55235294118
6.224,7.60764705882
6.266,7.42764705882
6.268,7.03941176471
6.337,7.14882352941
6.108,19.7911764706
6.228,5.31529411765
6.306,6.27764705882
6.254,6.90117647059
6.198,5.55058823529
6.221,7.66647058824
6.224,5.71647058824
6.279,6.23411764706
6.313,5.79588235294
6.24,6.320625
6.262,5.96647058824
6.329,5.57375
6.297,5.35470588235
6.181,6.47411764706
6.29,7.88176470588
6.264,6.07470588235
6.229,7.26705882353
6.251,6.52352941176
6.333,6.59588235294
6.092,5.06176470588
6.29,5.920625
6.371,5.75176470588
6.258,5.935625
6.305,5.049375
6.289,7.07647058824
6.257,7.57411764706
6.251,6.20470588235
6.242,5.48125
6.324,5.15588235294
6.307,5.81625
6.271,6.36941176471
6.365,6.45941176471
6.345,5.68882352941
6.182,6.75176470588
6.156,6.29117647059
6.301,6.17941176471
6.142,6.33764705882
6.298,6.09882352941
6.271,6.21294117647
6.318,5.96529411765
6.267,5.0575
6.187,6.06823529412
6.227,5.885
6.26,7.08705882353
6.301,6.26
6.098,6.98764705882
6.259,5.75235294118
6.232,5.70882352941
6.244,6.825625
6.286,5.07375
6.295,6.78529411765
6.308,6.23941176471
6.244,6.23470588235
6.264,6.26235294118
6.298,6.29352941176
6.305,5.37823529412
6.328,13.816875
6.336,17.7441176471
6.33,6.06882352941
6.345,6.62117647059
6.27,5.80823529412
6.281,5.36411764706
6.2,7.31235294118
6.241,7.79529411765
6.289,6.54647058824
6.326,5.87588235294
6.32,7.34529411765
6.256,6.18941176471
6.307,6.52117647059
6.27,5.68294117647
6.35,6.94058823529
6.218,6.64941176471
6.219,7.08125
6.282,8.23294117647
6.274,9.65235294118
6.286,8.12176470588
6.303,6.10705882353
6.259,5.89235294118
6.27,5.6025
6.233,6.30411764706
6.304,7.89117647059
6.094,6.480625
6.262,6.72117647059
6.261,6.96294117647
6.3,6.80882352941
6.232,6.03529411765
6.263,4.83764705882
6.321,6.42882352941
6.293,6.36529411765
6.351,6.05882352941
6.304,6.26764705882
6.279,6.76588235294
6.327,6.81882352941
6.269,6.14882352941
6.252,6.76647058824
6.32,4.909375
6.279,6.57352941176
6.301,7.38352941176
6.245,19.0964705882
6.482,35.8188235294
6.151,8.61529411765
6.263,7.13529411765
6.224,5.86941176471
6.204,7.49117647059
6.253,7.18470588235
6.262,5.77588235294
6.246,5.620625
6.272,6.16823529412
6.268,15.2758823529
6.293,6.73705882353
6.296,6.76705882353
6.131,5.440625
6.267,6.67235294118
6.266,6.69588235294
6.288,6.35411764706
6.234,5.67411764706
6.17,5.68235294118
6.31,10.4723529412
6.085,7.106875
6.285,7.07470588235
6.168,6.01294117647
6.321,7.46529411765
6.26,5.48
6.234,7.12058823529
6.247,6.14294117647
6.304,9.66764705882
6.22,6.00882352941
6.312,6.55411764706
6.23,5.52375
6.307,6.63125
6.274,6.52882352941
6.217,5.95529411765
6.231,5.74764705882
6.23,6.018125
6.257,6.68117647059
6.261,7.14411764706
6.264,6.53352941176
6.333,6.92529411765
6.277,7.28470588235
6.263,5.67588235294
6.202,6.24352941176
6.276,6.22588235294
