time,cpuLoad
6.069,52.05
13.928,55.2794444444
5.431,26.1411111111
5.266,32.4152941176
7.43,67.6155555556
5.921,49.0052941176
5.79,47.3355555556
4.924,16.5252941176
6.132,53.4794444444
10.035,63.575
17.047,74.6511111111
6.946,57.5577777778
6.849,52.2311111111
5.712,30.68
7.861,73.9533333333
6.489,49.2405263158
6.548,48.5833333333
8.1,49.69
5.367,24.6822222222
5.385,35.4116666667
5.63,41.4689473684
5.392,28.3158823529
5.75,48.6429411765
8.125,41.4566666667
5.817,35.8755555556
5.636,44.1644444444
5.564,33.6361111111
5.562,31.2329411765
5.926,36.8058823529
5.596,34.4683333333
5.633,33.4094444444
5.65,33.0105882353
5.606,33.4466666667
6.304,76.8831578947
6.945,46.0763157895
5.375,21.5761111111
5.28,19.8452941176
5.312,20.6735294118
5.235,21.1311764706
5.298,21.0029411765
5.274,34.7566666667
5.357,21.3438888889
5.268,19.4641176471
5.303,23.5135294118
5.568,24.5644444444
5.347,24.7723529412
5.327,23.6222222222
5.256,20.0116666667
5.291,19.1411764706
5.292,24.0623529412
5.292,20.8233333333
5.312,19.9376470588
5.296,19.9705882353
6.93,43.7116666667
5.81,30.1505882353
5.309,19.5794117647
5.198,17.6694117647
5.262,18.4505555556
5.248,19.1572222222
5.268,19.8841176471
5.201,18.1805882353
5.295,17.4276470588
5.169,20.9805555556
5.27,18.8738888889
5.199,18.7664705882
5.253,21.9227777778
5.215,16.3452941176
5.254,12.8905882353
5.121,19.7852941176
5.158,25.5266666667
7.74,74.6164705882
5.768,75.0577777778
8.139,66.0994444444
9.471,82.0227777778
9.106,80.4155555556
12.207,90.9394444444
9.325,80.0561111111
11.013,78.3088888889
9.47,83.2616666667
9.883,69.8794444444
5.897,49.2816666667
11.12,83.755
6.959,61.8505555556
6.027,42.3641176471
7.304,43.3544444444
7.373,61.645
6.268,61.8035294118
5.788,70.34
5.672,36.8829411765
6.689,38.2327777778
7.518,49.2466666667
7.306,58.6761111111
6.033,36.6505882353
6.054,53.7876470588
5.514,62.1166666667
5.789,36.6505882353
7.132,54.6170588235
5.912,35.98
5.902,39.1083333333
