time,cpuLoad
5.677,56.5238888889
5.394,28.5741176471
5.927,46.6016666667
4.684,12.9511764706
4.706,46.7894117647
4.721,13.5252941176
4.715,13.415
4.74,17.5441176471
4.755,13.5023529412
5.2,13.0838888889
5.243,14.77
5.17,13.9488235294
4.714,13.5841176471
4.708,13.5970588235
5.434,53.6083333333
5.262,17.0958823529
4.724,18.8135294118
5.975,27.7770588235
4.873,23.0811111111
5.433,21.8438888889
4.82,25.0905555556
5.121,27.9961111111
4.936,28.9652941176
4.967,27.5294117647
4.842,35.4035294118
4.944,20.5855555556
4.631,16.3064705882
5.253,14.7082352941
5.352,27.7833333333
5.203,36.4889473684
5.297,26.4552941176
4.97,36.4129411765
5.01,25.5183333333
5.827,29.7661111111
5.065,24.7970588235
5.606,14.4229411765
4.982,28.4955555556
4.766,19.1458823529
4.752,13.93
4.808,16.0482352941
5.158,15.2205555556
4.721,18.1611764706
4.755,16.9994444444
4.803,14.9911764706
5.188,14.9564705882
5.18,16.0635294118
4.757,15.4088235294
4.756,15.9682352941
4.753,18.3170588235
5.19,15.3776470588
4.701,15.1452941176
4.754,14.2176470588
5.201,17.3335294118
4.773,18.0876470588
4.714,14.9070588235
5.196,14.3176470588
4.797,14.0188235294
4.76,14.9911764706
4.703,15.0747058824
4.688,15.8570588235
4.688,13.8058823529
4.705,13.8605882353
4.709,13.5670588235
5.186,13.9876470588
4.733,14.4123529412
4.732,13.7652941176
4.806,15.2405882353
5.189,34.2558823529
5.188,25.0076470588
4.762,15.0058823529
4.771,15.9123529412
4.772,15.5405882353
4.699,13.8805882353
4.779,15.4627777778
4.788,16.61
4.707,26.0717647059
5.229,18.4155555556
4.799,14.8464705882
5.172,12.6735294118
4.685,13.1623529412
4.747,16.2011764706
4.66,11.9288235294
5.085,49.4277777778
4.725,16.2305555556
5.086,26.7555555556
4.79,23.6735294118
5.203,24.35
4.905,26.4223529412
4.832,23.5594117647
4.718,16.9817647059
4.965,24.1358823529
5.448,30.0664705882
5.214,46.1241176471
6.174,30.9141176471
5.195,26.7788235294
5.466,62.1926315789
4.651,22.5305555556
4.649,22.6588888889
4.552,28.5141176471
