time,cpuLoad
3.736745,40.9376470588
3.55915,22.2835294118
3.557565,28.9452941176
3.53374,22.3241176471
3.599265,19.1952941176
3.552355,31.8747058824
3.52563,22.6317647059
3.54434,23.1670588235
3.55084,19.0475
3.528245,25.855
3.34486,13.6876470588
3.5133,20.7938888889
3.5133,33.1641176471
3.639275,27.4041176471
3.684095,24.0022222222
3.674285,20.05
3.54368,22.9205882353
3.53969,20.8511111111
3.531545,22.8416666667
3.56202,19.8116666667
3.563225,20.6717647059
3.571965,21.6552941176
3.57867,21.4988235294
3.54563,23.0770588235
3.55053,20.27
3.521025,21.9177777778
3.556975,19.0682352941
3.539565,21.9929411765
3.617975,26.6552941176
3.582385,22.6616666667
3.602295,26.6782352941
3.548965,35.9423529412
3.612125,23.5644444444
3.56502,23.1417647059
3.540315,19.4841176471
3.513315,20.7170588235
3.55032,20.3058823529
3.538705,21.3135294118
3.543245,21.4911764706
3.52107,21.9958823529
3.55213,21.6964705882
3.501825,31.8941176471
3.548735,22.4435294118
3.564985,19.9229411765
3.516285,23.6294117647
3.55783,23.7852941176
3.58921,22.7758823529
3.529905,22.7023529412
3.486455,33.1047058824
3.555665,22.9382352941
3.56606,19.9847058824
3.53748,20.7794117647
3.56227,21.2105882353
3.561525,22.2241176471
4.682905,26.2488235294
3.675675,23.7027777778
3.50195,22.1982352941
3.562925,20.9394444444
3.69395,24.8605882353
3.5937,23.7544444444
3.499755,20.5883333333
3.649505,20.8570588235
3.55633,20.0994117647
3.58725,19.8470588235
3.53127,20.7541176471
3.551885,22.2294117647
3.4737,30.6464705882
3.51408,22.9423529412
3.58778,24.4
3.544975,21.7182352941
3.54898,23.18
3.55699,21.2617647059
3.53599,27.1135294118
3.567595,25.2082352941
3.52685,20.8958823529
3.595595,13.6258823529
3.358465,11.155
3.39496,10.1305882353
3.351095,10.6952941176
3.52198,9.09647058824
3.332395,9.43277777778
3.387085,9.93111111111
3.450955,11.6641176471
3.40225,9.25588235294
3.34367,19.2270588235
3.35,10.2094117647
3.331695,8.52294117647
3.38333,8.02470588235
3.64905,12.7823529412
3.433715,8.69470588235
3.39259,8.83764705882
3.32146,8.73411764706
3.33443,9.65117647059
12.83519,68.7538888889
12.83519,68.2347058824
7.105285,91.365
3.917195,26.1527777778
